src,dst,label,one_class_svm_score,svc_score,isolation_forest_score
C13576,C625,0,-278.36123739711866,0.0015815335584853745,0.494492763650763
C14423,C612,0,-232.30914417497297,1.0000000994736041e-07,0.5932462138724666
C23864,C743,0,-483.2344203286216,3.804354468305757e-05,0.4513325775919749
C9236,C457,0,-265.2342865751525,0.0001554547565240547,0.4960492644913689
C1509,C457,0,-199.51437114540659,3.4205141635987256e-05,0.505425171892203
C1611,C17131,0,-568.012835795877,0.0002689583823591975,0.43857503689370037
C11952,C5030,0,-684.5765245028183,1.6055832828280187e-05,0.4352114001144813
C11067,C4784,0,-506.0663177961087,0.00022893921988549273,0.4525700446043129
C20371,C625,0,-579.411638585053,0.0019757781638493318,0.4638955545384043
C7758,TGT,0,-307.3745328488794,0.0017106576670240486,0.47740211707153934
C7930,C2106,0,-487.4666365428643,0.0003134877493461934,0.4709697668550596
C24009,C625,0,-292.291458354498,1.8681793650275842e-05,0.5286988176585513
C528,C13331,0,-195.96091929747217,9.383214050548368e-07,0.49055840977100723
C22500,C457,0,473.4525659394967,5.101247406615358e-07,0.6131545947190198
C2812,C529,0,-87.38809817668653,0.0010084626236468448,0.5198093104522554
C20293,C529,0,-4.774526539789804,2.468587513006279e-05,0.5276782763576454
C20829,C586,0,-145.7536789388987,0.000744588129789774,0.5173774329392598
C8528,C585,0,-500.2393179155538,9.34571091178009e-05,0.4389806440724186
C23380,C7960,0,-562.4388888981812,0.0001049465054615393,0.4452012758645752
C7571,C586,0,-17.426973960870328,0.000353764580523208,0.5391879258965387
C22275,C467,0,-433.209589120459,3.183042207159417e-05,0.47450094398310483
C17644,C625,0,-234.63294657830784,0.0013513410602728998,0.49524281545157933
C13406,C4784,0,-442.2422340128837,0.0016312581225238307,0.45218866526744017
C10611,C529,0,143.1613685620896,1.0000000994736041e-07,0.6470301926518855
C2719,C231,0,-456.81592924460165,2.129431465317336e-06,0.4695379844274988
C489,C2106,0,-566.4769985993194,0.0010356356514293764,0.45933305781444816
C24264,C467,0,-112.25973307115873,7.178028336005154e-07,0.555955236253154
C1227,C754,0,117.85044190494318,1.0000000994736041e-07,0.6401664028190581
C24372,C457,0,-170.53921580602355,1.0389092876616854e-05,0.5180879185243843
C5033,C1640,0,-602.7057547420359,8.740082448470071e-06,0.44261744468255815
C19388,TGT,0,-175.91463178089452,2.0109899659481314e-07,0.5378270992820786
C2588,C11264,0,-142.0385048505541,1.3657715450008976e-06,0.5193512483978641
C13393,C706,0,-251.0831240430839,0.00014206564268739853,0.46908335619615854
C529,C1001,0,-358.4784147453406,3.800391266770158e-06,0.46321313839990613
C695,C5716,0,-310.7376147778414,7.984488943621911e-07,0.47315696682586833
C1521,C9236,0,-183.64089199901082,3.1658538187574144e-05,0.5183416217489898
C7620,C2106,0,-586.9936349490827,0.0030060297055798974,0.46445090358238894
C17857,C2327,0,-499.7776252865592,0.000217253939178609,0.4462194221091818
C13600,C528,0,-430.8392064841996,0.002429401525084952,0.4803367586100271
C23246,C231,0,-212.45164277114327,1.0000000994736041e-07,0.5188756193870941
