src,dst,label,one_class_svm_score,isolation_forest_score
C19641,C467,0,-112.6418740466031,0.4298095470092054
C14585,C1640,0,-59.75895897942178,0.48360352772752113
C15771,C3649,0,-97.14372898047327,0.5303806704574219
C8013,C467,0,-93.76711893285415,0.484174290674915
C1521,C21562,0,-41.68242764705701,0.5517466012136827
C10,C21218,0,-89.8395828949524,0.5383275240439249
C7898,TGT,0,-141.09423534056873,0.4667150773308188
C25812,C529,0,-89.10664467328138,0.45083211010207813
C5787,C20640,0,-10.604335973004254,0.6214524752355506
C24274,C528,0,-40.01838390664943,0.567427867786372
C4761,C5769,0,-74.81847913215688,0.44532438169455735
C8466,C706,0,-129.96392494832685,0.5055813996958028
C1993,C1065,0,98.88303812869958,0.5900085673302997
C5566,C231,0,-47.15609712221908,0.45778514594380765
C9469,C1015,0,319.92649094493936,0.6668723556682048
C7718,TGT,0,-117.03730434549266,0.4469695289064243
C648,C1640,0,-86.24172693724972,0.5015610116913681
C16695,C2567,0,426.61673657723304,0.6394132548067711
C1641,C3395,0,-38.25327415641527,0.5707905106951356
C1590,C1478,0,-75.45334018079029,0.6240779547300888
C1660,C586,0,-55.63502587631888,0.5028995153853607
C1216,C528,0,-97.67697617132535,0.45964197303759896
C1521,C20055,0,-43.219229653467664,0.5081500102286617
C11264,C1958,0,-140.95199838732515,0.5000700413608775
C16625,C528,0,-100.63462255565855,0.4630639765782311
C15244,C14796,0,-0.000310017505853466,0.5723987751902464
C4323,C1065,0,-41.086951803930106,0.5040658383004492
C23805,C2106,0,-53.04547359054595,0.46401097870485825
C360,C2753,0,-56.69406875481991,0.44887641738719963
C3299,C612,0,-60.9041973935216,0.5023100353842118
C22923,C467,0,-91.7620902608553,0.4727219348951479
C1521,C9293,0,-42.758963276495024,0.5029671363708351
C375,C743,0,-7.548931832807739,0.43666815455023084
C1037,C625,0,-51.81398737669588,0.503183382107997
C5163,C231,0,-80.39903154192825,0.4669792350730245
C9591,C528,0,-102.03612996599418,0.4687441601035473
C20671,C529,0,-31.492856130984137,0.5267062509702461
C16770,C2173,0,1.22777389606199e-05,0.5869931163749263
C21753,C528,0,12.011261753492363,0.5655671680126935
C19183,C625,0,-57.56599196035472,0.4929899433629106
C11165,C3034,0,-0.664155093597401,0.5449856842553729
C1570,C500,0,-113.43349323576331,0.530394160183608
C6849,C2327,0,-123.7531466863868,0.4557295651388768
C3780,C529,0,63.68338569338994,0.5718197377672342
C17216,C612,0,-110.9799894472435,0.4517385185365582
C13123,C2106,0,8.667378607495948,0.6560006537933228
C21589,C529,0,-80.11438555982886,0.47001829265344464
C521,C529,0,-168.731848817102,0.4613265233614722
C7685,C2553,0,-138.8105549672507,0.46470405038816315
C13537,C625,0,-34.37686467441927,0.5014124780799938
C7978,C1640,0,-93.53357708790168,0.4404096216629486
C1521,C17909,0,192.4514081229347,0.6317022702374541
C4321,C1640,0,-71.40522695461436,0.5345044796499463
C15244,C1536,0,-0.000310017505853466,0.5723987751902464
C4998,TGT,0,-55.1401437496088,0.45499640959026505
C24553,C612,0,-76.41955074502448,0.42568238525829233
C129,C1640,0,-61.8388888263853,0.46462715348895595
C7764,C529,0,7.907507629792008,0.6211676472912729
C2964,C625,0,-114.93708511029376,0.4433630900590304
C20369,C625,0,-119.91698873399605,0.4620187358652785
C7583,C706,0,-118.91366934645202,0.4873919751090009
C17135,C19793,0,-171.6358416208884,0.6245846242373883
C21970,C3953,0,-37.29067575776867,0.4402194940467015
C17610,C1640,0,-64.89014995965454,0.470016672640164
C5802,C8151,0,-3.772094413429386,0.6204379687666646
C12693,C1877,0,-140.42584353150733,0.4618866612815821
C20336,C1065,0,15.52795488515676,0.6370683195974381
C1429,TGT,0,-71.12422019041173,0.4423244375811492
C13160,C2106,0,-101.25707705565469,0.46260138549359875
C4308,C586,0,-74.72828199659648,0.47720988847049284
C8506,C529,0,-95.47625848575922,0.48391842114181705
C12055,TGT,0,-38.90061576978064,0.44988182689578277
C4608,C231,0,-125.32421611703876,0.5012019252920612
C19063,C625,0,-127.59393779733296,0.4529658960683189
C6867,C2327,0,-116.4208903364854,0.4376395829953012
C9753,C3398,0,-137.37902171092378,0.46210571024400404
C19208,C528,0,-102.50784719403214,0.47941683442868827
C20900,C585,0,-18.79751123722167,0.44478331436047996
C12659,C457,0,-132.0735947170092,0.5984025432247202
C1798,C1728,0,0.30224561872887534,0.5200178216807216
C6058,C2553,0,-136.52074554469027,0.46132236795979586
