src,dst,label,one_class_svm_score,isolation_forest_score
C706,C21252,0,-64.6851475126673,0.49844438011906694
C5904,C2174,0,-41.426252422756306,0.6260501452517158
C3806,C612,0,-80.42987061944928,0.46759102086040677
C20950,C1707,0,-54.60146917147517,0.47715771917769134
C21215,C231,0,-59.37600867488163,0.47817103931467614
C4174,C10138,0,-47.790365309881054,0.46873643830004025
C6568,C586,0,-62.787192901641674,0.47552681398488805
C13678,C754,0,1.5537219055722744,0.5393134558550917
C22192,C1883,0,-43.354551211454464,0.44014154300361485
C5763,C13585,0,-10.228623873129436,0.5183977343497881
C457,C5929,0,-41.98917730806488,0.48677025240089644
C11576,C1065,0,-66.17741104375159,0.45631949334662775
C7878,C754,0,-0.390634754957091,0.6272097424700948
C1065,C7539,0,-25.401896486401938,0.45263621441905943
C9542,C585,0,-4.010357534895547,0.6063557408835513
C3349,C786,0,-58.25675717889976,0.5119850767372236
C17924,C1685,0,-34.30805586375641,0.5040484825669237
C1645,C586,0,3.1772110040935786,0.5741314535730266
C21931,C2109,0,-40.67222629854814,0.504709527220419
C754,C23923,0,-7.664607574515003,0.5363518712840338
C6171,C585,0,-8.914463912172778,0.6259175416098288
C457,C12856,0,-12.484153877629524,0.4497996172828071
C1707,C38,0,-81.13436755171028,0.4973862196117209
C1685,C22835,0,-36.42825545661685,0.45556960469924684
C3705,C754,0,-43.83960050932319,0.4944500090768892
C6871,C585,0,59.214663303941734,0.5985418019414678
C16712,C9692,0,-47.11859424649583,0.46347465331237353
C16873,C585,0,27.076665175760127,0.5804017899860003
C231,C16126,0,-66.47252408780037,0.49037465866635077
C5843,C625,0,-84.44698295624971,0.4977195067733576
C5313,C231,0,-58.86863663787631,0.4749347074676857
C14694,C1065,0,-103.85735378084814,0.616607214254707
C5900,C9691,0,-49.29262265158036,0.5342895379969228
C14625,C467,0,-90.83727771602935,0.61742065110217
C16439,C5030,0,-55.95575322910554,0.5194930530376946
C9647,C586,0,-106.50594945276953,0.5983774461084886
C768,C467,0,-33.0567838165764,0.5456596310764692
C20524,C1707,0,-30.4095094166164,0.5129361350725085
C3743,C2186,0,-57.450002526902836,0.4567445230290565
C17435,C706,0,-55.65947406594046,0.4857793994199809
C20785,C5721,0,-48.24062869125055,0.6104513311514465
C10107,C231,0,-75.99543547488543,0.47054945272031273
C231,C11143,0,-61.35190313790554,0.500135819641521
C585,C10163,0,-6.705511927751104,0.5666257745016123
C25133,C1685,0,46.79696948182118,0.5750731011012918
C1433,C706,0,-75.34993184069208,0.47864698600783606
C1879,C6314,0,-44.87335029477481,0.4861809351058852
C17370,C585,0,3.0984483644310785,0.5616073935723369
C17137,C5463,0,132.60286820207807,0.6622131403255616
C13570,C529,0,-60.00024662047372,0.5152224185813007
C612,C6253,0,-51.35909106806071,0.4564678081641005
C3933,C529,0,-65.92726734301186,0.46453601858234295
C15244,C10916,0,-67.02829725073661,0.48025045864493826
C585,C19501,0,4.176428390125693,0.577460701978377
C5917,C1707,0,-37.13558032893229,0.509238154784099
C15020,C612,0,-91.63096084027597,0.49214481419485384
C457,C12632,0,-60.6477841992762,0.48523999470272117
C1098,C5030,0,-57.96009965294729,0.46043953619955647
C17286,C4920,0,2.833698010280159,0.5421745516202893
C15865,C1583,0,-38.389703201800785,0.5381357854128491
C5588,C12380,0,-65.42386942792996,0.5131459701810518
C742,C9986,0,-63.12018515698492,0.5026371094044668
C21040,C754,0,-52.91089828494523,0.6164889524475908
C457,C21746,0,-6.850673682441311,0.5151974811691727
C706,C3597,0,-82.94104233574535,0.4828410583468687
C1743,C5626,0,-71.74757912564132,0.49368090394149877
C15244,C17922,0,16.468807935312952,0.5728644185811945
C585,C7290,0,-4.30130219954458,0.5322882603790159
C2109,C18071,0,-82.88376091934333,0.4875897099373768
C231,C21337,0,-49.504003679596735,0.4880284563704983
C16358,C586,0,-112.06283435557157,0.611259113209256
C15650,C12642,0,-12.103543163759696,0.5192204521276431
C2920,C5721,0,68.91124317968888,0.6091458683623727
C18516,C1707,0,-58.435318596943716,0.4726079801644649
C14114,C5720,0,-42.02224931677415,0.5241823353095665
C4222,C4655,0,-23.782077518254937,0.5249238526104525
C585,C1403,0,-18.38152384545515,0.5330265252175964
C9797,C16712,0,-56.33768942304914,0.4519247195628044
C625,C13730,0,-10.03951477882265,0.46215893331739955
C22625,C231,0,-17.689303671606694,0.5553600086658199
C2148,C6530,0,-42.398578597420965,0.5330457821194562
C11893,C2109,0,-57.22445100908817,0.46595500892936625
C528,C25760,0,-50.29800086748833,0.4603244452814557
C706,C12236,0,-56.345621103001804,0.47123539424496746
C21909,C5721,0,23.03466814114995,0.6101619375315593
C23276,C5736,0,13.079462680167808,0.6307407067694402
C754,C286,0,-49.504003679596735,0.4880284563704983
C16574,C5720,0,-13.931801574408382,0.5436151847351803
C18010,C395,0,-69.31478163105726,0.47319037096779365
C15272,C4174,0,-77.12545934643549,0.464110088836651
C612,C7144,0,-10.857511610732672,0.4575337128839832
C2057,C11779,0,-82.80342372287078,0.488673144822981
C17146,C585,0,-7.8411746378299085,0.5958069748888889
C26485,C20446,0,-63.24977871426745,0.49448320767928555
C528,C19574,0,-79.32951529131196,0.4997876946700734
C7720,C2109,0,-54.2176410565296,0.4662415158290592
C15070,C5721,0,-26.18710336576396,0.6045615496042107
C1707,C8943,0,-80.20844904547153,0.502548088446474
