node,in_degree,out_degree,total_degree,fan_out_ratio,betweenness_centrality,inter_arrival_mean,inter_arrival_std,burst_score,active_duration
C12247,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C1065,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
ANONYMOUS LOGON@C1065,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C4429,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C528,4,1,5,0.2,0.0,0.0,0.0,0.0,0.0
ANONYMOUS LOGON@C528,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C529,3,1,4,0.25,0.0,0.0,0.0,0.0,0.0
ANONYMOUS LOGON@C529,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C13455,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C586,3,1,4,0.25,0.0,0.0,0.0,0.0,0.0
ANONYMOUS LOGON@C586,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C2106,5,1,6,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
C10045$@DOM1,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C1020$@DOM1,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C1025,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C561,2,1,3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
C1025$@DOM1,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C1035,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C467,3,1,4,0.25,0.0,0.0,0.0,0.0,0.0
C1035$@DOM1,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C105,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C104,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C104$@DOM1,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C1042,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C1042$@DOM1,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C612,3,1,4,0.25,0.0,0.0,0.0,0.0,0.0
C10445$@DOM1,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C10805,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
