edge_index,edge_rarity,src_out_degree,dst_in_degree
0,1.0,1,2
1,0.5,1,1
2,1.0,1,2
3,0.2,1,4
4,1.0,1,1
5,0.5,1,3
6,1.0,1,1
7,0.5,1,3
8,0.5,1,1
9,0.5,1,3
10,0.3333333333333333,1,5
11,1.0,1,1
12,1.0,1,1
13,1.0,1,2
14,0.5,1,1
15,1.0,1,2
16,1.0,1,3
17,0.5,1,1
18,1.0,1,3
19,1.0,1,1
20,1.0,1,1
21,1.0,1,1
22,1.0,1,1
23,0.5,1,3
24,1.0,1,1
25,1.0,1,5
26,1.0,1,1
27,1.0,1,1
28,1.0,1,1
29,1.0,1,1
30,1.0,1,1
31,1.0,1,5
32,1.0,1,1
33,1.0,1,3
34,0.5,1,1
35,1.0,1,4
36,0.5,1,1
37,1.0,1,3
38,1.0,1,1
39,0.5,1,1
40,1.0,1,5
41,0.5,1,2
42,1.0,1,1
43,1.0,5,1
44,0.16666666666666666,1,1
45,0.5,5,3
46,1.0,5,3
47,1.0,5,3
48,1.0,5,1
49,1.0,1,1
50,1.0,1,1
51,1.0,1,1
52,0.3333333333333333,1,1
53,0.3333333333333333,1,1
54,0.5,1,1
55,0.5,1,1
56,1.0,1,4
57,1.0,1,1
58,1.0,1,5
59,1.0,1,1
60,1.0,1,1
61,1.0,1,1
62,1.0,1,1
63,1.0,1,4
64,1.0,1,1
65,1.0,1,1
66,1.0,1,1
67,1.0,1,2
68,0.5,1,1
69,1.0,1,12
70,1.0,1,1
71,1.0,1,1
72,1.0,1,12
73,1.0,1,12
74,1.0,1,3
75,1.0,1,1
76,1.0,1,12
77,1.0,1,12
78,1.0,1,12
79,1.0,1,12
80,1.0,1,12
81,1.0,1,12
82,1.0,1,12
83,1.0,1,12
84,1.0,32,1
85,0.5,32,1
86,1.0,32,1
87,1.0,32,1
88,0.5,32,1
89,1.0,32,1
90,1.0,32,1
91,1.0,32,1
92,1.0,32,1
93,1.0,32,1
94,1.0,32,1
95,1.0,32,1
96,1.0,32,1
97,1.0,32,1
98,1.0,32,1
99,1.0,32,1
100,1.0,32,1
101,1.0,32,1
102,1.0,32,1
103,1.0,32,1
104,1.0,32,1
105,1.0,32,1
106,1.0,32,1
107,1.0,32,1
108,1.0,32,1
109,1.0,32,1
110,1.0,32,1
111,1.0,32,1
112,1.0,32,1
113,1.0,32,1
114,1.0,32,1
115,1.0,32,1
116,1.0,1,12
