source_node,path_score,path_nodes,path_edges,path_length
C10614,1.0,C10614 -> C16712,0,1
C12632,1.0,C12632 -> C467,5,1
C13470,1.0,C13470 -> C16712,7,1
C13490,1.0,C13490 -> C16712,8,1
C12267,1.0,C12267 -> C16712,4,1
C11667,1.0,C11667 -> C743,2,1
C11227,1.0,C11227 -> C25856,1,1
C1226,1.0,C1226 -> C16712,3,1
C14394,1.0,C14394 -> C16712,9,1
C15459,1.0,C15459 -> C16712,12,1
C16756,1.0,C16756 -> C16712,47,1
C16029,1.0,C16029 -> C16712,14,1
C15549,1.0,C15549 -> C16712,13,1
C14702,1.0,C14702 -> C16712,10,1
C14967,1.0,C14967 -> C16712,11,1
C12941,1.0,C12941 -> C5721,6,1
C10614,0.6739130434782609,C10614 -> C16712 -> C15459,"0,29",2
C10614,0.6739130434782609,C10614 -> C16712 -> C14967,"0,28",2
C10614,0.6739130434782609,C10614 -> C16712 -> C14702,"0,27",2
C10614,0.6739130434782609,C10614 -> C16712 -> C14394,"0,26",2
C10614,0.6739130434782609,C10614 -> C16712 -> C13470,"0,25",2
C10614,0.6739130434782609,C10614 -> C16712 -> C12267,"0,24",2
C10614,0.6739130434782609,C10614 -> C16712 -> C1226,"0,23",2
C1226,0.6739130434782609,C1226 -> C16712 -> C14702,"3,27",2
C12267,0.6739130434782609,C12267 -> C16712 -> C14394,"4,26",2
C12267,0.6739130434782609,C12267 -> C16712 -> C14702,"4,27",2
C12267,0.6739130434782609,C12267 -> C16712 -> C1226,"4,23",2
C12267,0.6739130434782609,C12267 -> C16712 -> C13470,"4,25",2
C12267,0.6739130434782609,C12267 -> C16712 -> C14967,"4,28",2
C12267,0.6739130434782609,C12267 -> C16712 -> C15459,"4,29",2
C13470,0.6739130434782609,C13470 -> C16712 -> C14394,"7,26",2
C13470,0.6739130434782609,C13470 -> C16712 -> C12267,"7,24",2
C13470,0.6739130434782609,C13470 -> C16712 -> C10614,"7,22",2
C13470,0.6739130434782609,C13470 -> C16712 -> C1226,"7,23",2
C1226,0.6739130434782609,C1226 -> C16712 -> C15459,"3,29",2
C1226,0.6739130434782609,C1226 -> C16712 -> C15549,"3,30",2
C1226,0.6739130434782609,C1226 -> C16712 -> C10614,"3,22",2
C10614,0.6739130434782609,C10614 -> C16712 -> C16029,"0,31",2
C12267,0.6739130434782609,C12267 -> C16712 -> C10614,"4,22",2
C10614,0.6739130434782609,C10614 -> C16712 -> C15549,"0,30",2
C13490,0.6739130434782609,C13490 -> C16712 -> C10614,"8,22",2
C13490,0.6739130434782609,C13490 -> C16712 -> C1226,"8,23",2
C13490,0.6739130434782609,C13490 -> C16712 -> C13470,"8,25",2
C13490,0.6739130434782609,C13490 -> C16712 -> C12267,"8,24",2
C13490,0.6739130434782609,C13490 -> C16712 -> C14702,"8,27",2
C13490,0.6739130434782609,C13490 -> C16712 -> C14967,"8,28",2
C13490,0.6739130434782609,C13490 -> C16712 -> C15459,"8,29",2
C13490,0.6739130434782609,C13490 -> C16712 -> C14394,"8,26",2
C13490,0.6739130434782609,C13490 -> C16712 -> C15549,"8,30",2
C13490,0.6739130434782609,C13490 -> C16712 -> C16029,"8,31",2
