source_node,path_score,path_nodes,path_edges,path_length
C1$@DOM1,1.0,C1$@DOM1 -> U461@DOM1 -> C1567$@DOM1 -> U7927@DOM1 -> C1139$@DOM1,"290698,349249,316425,402105",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> C1509$@DOM1 -> U9157@DOM1 -> C1089$@DOM1,"393492,312774,312784,361766",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> C1509$@DOM1 -> U9157@DOM1 -> C1288$@DOM1,"393492,312774,312784,306023",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> C1509$@DOM1 -> U9157@DOM1 -> C3170$@DOM1,"393492,312774,312784,308976",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> C1509$@DOM1 -> U9157@DOM1 -> C2777$@DOM1,"393492,312774,312784,320876",4
C16320$@DOM1,1.0,C16320$@DOM1 -> LOCAL SERVICE@C16320,350020,1
C16320$@DOM1,1.0,C16320$@DOM1 -> NETWORK SERVICE@C16320,350021,1
C2039$@DOM1,1.0,C2039$@DOM1 -> U453@DOM1,236534,1
C2039$@DOM1,1.0,C2039$@DOM1 -> U5573@DOM1,408224,1
C2039$@DOM1,1.0,C2039$@DOM1 -> U3427@DOM1,270505,1
C2039$@DOM1,1.0,C2039$@DOM1 -> U5263@DOM1,211798,1
C2039$@DOM1,1.0,C2039$@DOM1 -> U5834@DOM1,370898,1
C2039$@DOM1,1.0,C2039$@DOM1 -> U2876@DOM1,279376,1
C2039$@DOM1,1.0,C2039$@DOM1 -> U6393@DOM1,113986,1
C2039$@DOM1,1.0,C2039$@DOM1 -> U658@DOM1,370410,1
C2039$@DOM1,1.0,C2039$@DOM1 -> U3809@DOM1,367365,1
C2039$@DOM1,1.0,C2039$@DOM1 -> U4871@DOM1,404845,1
C2039$@DOM1,1.0,C2039$@DOM1 -> U453@DOM1 -> C1042$@DOM1,"236534,339491",2
C2039$@DOM1,1.0,C2039$@DOM1 -> U453@DOM1 -> C1640$@DOM1,"236534,406628",2
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> C1509$@DOM1 -> U9157@DOM1 -> C742$@DOM1,"393492,312774,312784,383152",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> C1509$@DOM1 -> U8777@DOM1 -> U9599@lanl.gov,"393492,312774,312770,314877",4
C2039$@DOM1,1.0,C2039$@DOM1 -> U453@DOM1 -> C1139$@DOM1,"236534,236378",2
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> C1509$@DOM1 -> U8777@DOM1 -> C703$@DOM1,"393492,312774,312770,339828",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> C1509$@DOM1 -> LOCAL SERVICE@C1509,"393492,312774,312781",3
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> C1509$@DOM1 -> NETWORK SERVICE@C1509,"393492,312774,312782",3
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> C1201$@DOM1 -> U114@DOM9,"393492,393409,393407",3
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> C1470$@DOM1 -> U114@DOM9,"393492,393379,393371",3
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> U6@DOM1 -> U2751@DOM1 -> C15183$@DOM1,"393492,321737,310199,217674",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> U6@DOM1 -> U5655@DOM1 -> U7@DOM1,"393492,321737,206355,238001",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> U6@DOM1 -> U1377@DOM1 -> C111$@DOM1,"393492,321737,408463,307046",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> U6@DOM1 -> U1377@DOM1 -> C23072$@DOM1,"393492,321737,408463,337381",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> U6@DOM1 -> U5119@DOM1 -> C20496$@DOM1,"393492,321737,98432,353144",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> U6@DOM1 -> U4407@DOM1 -> C1503$@DOM1,"393492,321737,303776,394633",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> U6@DOM1 -> U4407@DOM1 -> C2057$@DOM1,"393492,321737,303776,386603",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> U6@DOM1 -> U559@DOM1 -> C2588$@DOM1,"393492,321737,368761,241359",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> U6@DOM1 -> U559@DOM1 -> C13931$@DOM1,"393492,321737,368761,388088",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> C1509$@DOM1 -> U8777@DOM1 -> U53@DOM1,"393492,312774,312770,355684",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> C1509$@DOM1 -> U8777@DOM1 -> C1288$@DOM1,"393492,312774,312770,306004",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> C1509$@DOM1 -> U8777@DOM1 -> C2116$@DOM1,"393492,312774,312770,313484",4
C1489$@DOM1,1.0,C1489$@DOM1 -> U114@DOM1 -> C1509$@DOM1 -> U8777@DOM1 -> C2944$@DOM1,"393492,312774,312770,335732",4
C2039$@DOM1,1.0,C2039$@DOM1 -> U453@DOM1 -> C2057$@DOM1,"236534,275280",2
C2039$@DOM1,1.0,C2039$@DOM1 -> U453@DOM1 -> C1382$@DOM1,"236534,384699",2
U8862@DOM1,1.0,U8862@DOM1 -> U6@DOM1 -> U559@DOM1 -> C2588$@DOM1 -> U5898@DOM1,"337464,368761,241359,323786",4
C2039$@DOM1,1.0,C2039$@DOM1 -> U6393@DOM1 -> C3413$@DOM1,"113986,113721",2
C2039$@DOM1,1.0,C2039$@DOM1 -> U658@DOM1 -> C1611$@DOM1,"370410,375884",2
C2039$@DOM1,1.0,C2039$@DOM1 -> U658@DOM1 -> C2254$@DOM1,"370410,392713",2
C2039$@DOM1,1.0,C2039$@DOM1 -> U658@DOM1 -> C1737$@DOM1,"370410,324126",2
C2039$@DOM1,1.0,C2039$@DOM1 -> U3809@DOM1 -> C2057$@DOM1,"367365,398863",2
C2039$@DOM1,1.0,C2039$@DOM1 -> U3809@DOM1 -> C1567$@DOM1,"367365,391544",2
C2039$@DOM1,1.0,C2039$@DOM1 -> U3809@DOM1 -> C1993$@DOM1,"367365,404066",2
