edge_index,edge_rarity,src_out_degree,dst_in_degree
0,0.038461538461538464,15,1589
1,0.0017730496453900709,2,5
2,0.012048192771084338,16,662
3,0.041666666666666664,12,1589
4,0.041666666666666664,16,1589
5,0.013157894736842105,14,1905
6,0.002347417840375587,2,3865
7,0.038461538461538464,4,1589
8,0.041666666666666664,13,1589
9,0.041666666666666664,6,1589
10,0.041666666666666664,11,1589
11,0.1,14,1589
12,0.041666666666666664,2,1589
13,0.041666666666666664,11,1589
14,0.041666666666666664,4,1589
15,0.011904761904761904,2014,12
16,0.04,2014,13
17,0.0125,2014,17
18,0.012345679012345678,2014,4
19,0.008928571428571428,2014,2
20,0.008333333333333333,2014,1
21,0.008333333333333333,2014,1
22,0.038461538461538464,2014,15
23,0.041666666666666664,2014,12
24,0.041666666666666664,2014,16
25,0.038461538461538464,2014,4
26,0.041666666666666664,2014,6
27,0.041666666666666664,2014,11
28,0.0125,2014,14
29,0.041666666666666664,2014,2
30,0.041666666666666664,2014,11
31,0.041666666666666664,2014,4
32,0.018867924528301886,2014,14
33,0.041666666666666664,2014,10
34,0.041666666666666664,2014,9
35,0.041666666666666664,2014,11
36,0.041666666666666664,2014,16
37,0.041666666666666664,2014,9
38,0.037037037037037035,2014,2
39,0.038461538461538464,2014,3
40,0.041666666666666664,2014,13
41,0.041666666666666664,2014,10
42,0.041666666666666664,2014,10
43,0.041666666666666664,2014,11
44,0.041666666666666664,2014,16
45,0.023809523809523808,2014,10
46,0.041666666666666664,2014,11
47,0.05555555555555555,14,1589
48,0.0006464124111182935,3631,9
49,0.0006406149903907751,3631,9
50,0.041666666666666664,10,1589
51,0.005025125628140704,3620,12
52,0.029411764705882353,3620,15
53,6.976322361903699e-06,473,11
54,0.00022040996253030638,6,11
55,0.041666666666666664,9,1589
56,0.041666666666666664,11,1589
57,0.041666666666666664,16,1589
58,0.00022040996253030638,6,6
59,0.0006464124111182935,5,3630
60,1.0,276,12
61,0.041666666666666664,9,1589
62,0.037037037037037035,2,1589
