src,dst
C12782,C1065
C1212,C1056
C7836,C754
C17853,C457
C12106,C612
C9502,C754
C5787,C19393
C21296,C529
C15244,C13644
C5808,C14119
C4962,C1681
C5808,C6883
C15244,C10946
C15244,C16180
C5802,C17847
C13473,C92
C17420,C586
C4230,C467
C10907,C754
C5808,C5557
C12841,C12731
C21121,C1065
C5787,C10674
C22439,C541
C21690,C362
C19992,C92
C627,C549
C15244,C11360
C21236,C2106
C14166,C11290
C15244,C65
C24840,C467
C15244,C13248
C1164,C1173
C15244,C7381
C5802,C6326
C17009,C612
C15244,C15939
C1460,C12687
C15244,C19676
C15244,C22107
C6804,C2106
C18908,C3521
C22391,C529
C3429,C1790
C11112,C754
C5802,C5299
C20371,C754
C536,C754
C10618,C457
C14553,C586
C15244,C1900
C435,C1003
C17609,C1759
C22452,C754
C4143,C612
C12246,C1065
C19978,C1527
C5843,C612
C6058,C92
C20120,C754
C16691,C754
C14186,C457
C11481,C1065
C51,C754
C15244,C14934
C18982,C5618
C8794,C754
C15244,C1089
C8670,C457
C15805,C1616
C17859,C529
C15961,C457
C19076,C754
C7464,C3287
C5808,C17470
C18104,C754
C5808,C644
C1495,C1003
C15244,C8219
C4816,C467
C18568,C754
C5808,C14945
C16882,C754
C5787,C19147
C15244,C11725
C475,C754
C635,C11516
C8289,C2106
C1670,C2721
C22662,C754
C9906,C754
C22064,C754
C15616,C754
C15244,C9956
C17788,C754
C14481,C457
C15244,C6379
C956,C457
C15244,C412
C15244,C8766
C4423,C2106
C4612,C612
C1868,C3468
C7416,C2106
C6935,C625
C15244,C21248
C17809,C754
C15244,C785
C23728,C467
C5808,C1025
C12349,C754
C16574,C754
C5802,C21529
C15244,C162
C22623,C612
C15244,C11453
C17693,C20203
C23049,C625
C543,C243
C7190,C529
C15677,C612
C5802,C20595
C18161,C754
C1009,C1173
C16492,C754
C17693,C143
C15244,C11766
C14021,C612
C1080,C754
C8242,C754
C9201,C529
C17536,C457
C11151,C2106
C22216,C15634
C3271,C529
C15244,C7460
C22347,C2918
C16226,C423
C5787,C22519
C22595,C754
C1100,C754
C5802,C22603
C22733,C529
C15244,C7215
C5787,C346
C21525,C467
C24748,C586
C5787,C20340
C24665,C467
C15244,C23249
C11609,C46
C24215,C2519
C12689,C957
C518,C754
C17374,C1183
C17693,C779
C14381,C449
C20779,C13684
C4879,C457
C19641,C12663
C15244,C1481
C13614,C612
C21054,C346
C15244,C5474
C18254,C467
C20721,C754
C23548,C1065
C7298,C1240
C15244,C6471
C15068,C754
C23443,C18720
C400,C754
C22620,C625
C24453,C528
C539,C754
C8982,C2106
C15244,C14549
C18349,C457
C15244,C21006
C5802,C4341
C9099,C467
C15708,C625
C18025,C2669
C21011,C1065
C13003,C3108
C20080,C754
C187,C754
C22965,C8509
C7603,C529
C15244,C10675
C338,C754
C10552,C1884
C5808,C21394
C6427,C936
C13497,C583
C5787,C23094
C8184,C528
C12228,C10
C15244,C17211
C5808,C15045
C15244,C22419
C21058,C115
C2245,C754
C7539,C754
C22999,C528
C5787,C6673
C24484,C1065
C10751,C754
C5787,C806
C13460,C528
C14279,C5839
C15244,C12710
C2769,C586
C12053,C529
C5225,C612
C5133,C754
C2677,C294
C5528,C586
C15244,C676
C17416,C586
C9364,C1124
C5808,C19717
C24360,C586
C22724,C3249
C21908,C529
C5808,C1355
C18028,C754
C18207,C529
C5787,C9933
C15244,C15314
C5802,C13696
C12712,C92
C7773,C467
C11634,C754
C15244,C10805
C5240,C2106
C18923,C754
C4818,C633
C1933,C754
C15244,C14474
C7954,C3249
C7728,C612
C9436,C1124
C15555,C612
C236,C754
C10682,C46
C5808,C16076
C5787,C1567
C15244,C13179
C22322,C625
C17049,C528
C15244,C281
C21452,C625
C22847,C754
C11063,C754
C15244,C3455
C15244,C1254
C15244,C10760
C15244,C8990
C15244,C11466
C8770,C754
C10175,C754
C9855,C754
C15244,C13799
C3812,C16371
C15244,C6949
C5121,C754
C16264,C754
C11543,C9725
C15244,C13117
C23936,C467
C19774,C754
C17475,C754
C19768,C625
C15244,C1070
C7102,C754
C12124,C528
C13807,C754
C875,C3468
C15244,C6045
C4027,C8730
C10803,C457
C17881,C754
C5989,C1487
C14481,C612
C956,C612
C15244,C17694
C17540,C13670
C22673,C586
C23534,C467
C12709,C1065
C24978,C528
C15244,C4843
C18720,C1884
C23231,C612
C15244,C2089
C756,C1065
C15244,C19227
C15244,C8974
C15244,C9810
C9120,C1336
C17897,C1628
C9539,C1065
C1179,C11940
C15682,C754
C15244,C18798
C21628,C612
C16243,C754
C18211,C457
C9780,C754
C23270,C754
C15244,C13724
C15244,C14770
C15244,C4245
C5802,C1487
C5787,C15996
C15244,C6240
C15244,C2081
C17693,C3422
C20960,C2106
C15244,C3155
C754,C504
C20175,C2106
C15244,C8928
C11794,C10
C7298,C9502
C11145,C754
C7223,C46
C1442,C366
C15244,C10858
C7202,C754
C15244,C8011
C21970,C612
C20079,C528
C17334,C2106
C5693,C504
C15244,C20858
C693,C2106
C3697,C3468
C5808,C21
C15500,C754
C24574,C529
C2667,C1003
C16698,C754
C15244,C6799
C23582,C457
C5787,C107
C16008,C457
C17693,C2849
C15244,C863
C16184,C457
C7884,C46
C15244,C17601
C4760,C1065
C15244,C357
C348,C1784
C291,C754
C15244,C305
C3902,C754
C19265,C92
C15244,C10566
C5400,C1065
C5654,C457
C2656,C449
C15244,C376
C18349,C612
C2420,C754
C5787,C23056
C15244,C6338
C15244,C8312
C15244,C10299
C999,C754
C17693,C2195
C1934,C3468
C21063,C1015
C23757,C3300
C13811,C423
C17693,C1980
C22538,C529
C16682,C1790
C5782,C14202
C16018,C528
C15244,C11134
C9487,C754
C236,C3433
C22515,C754
C15244,C6935
C9720,C457
C197,C754
C2521,C3438
C1116,C754
C2647,C754
C5646,C529
C17693,C1371
C13001,C3108
C21794,C754
C10880,C754
C15244,C1199
C8205,C529
C5802,C15497
C5808,C20756
C15244,C6731
C6312,C754
C15244,C1132
C5802,C7720
C21429,C1065
C9498,C1065
C10821,C8232
C19634,C5618
C13972,C1065
C14222,C2106
