src,dst
C4174,C21309
C16555,C16712
C2174,C2567
C1212,C1056
C457,C15003
C7836,C754
C17853,C457
C12106,C612
C9502,C754
C5787,C19393
C21296,C529
C754,C18804
C15244,C13644
C5808,C14119
C457,C21931
C4962,C1681
C5808,C6883
C20220,C4174
C15244,C10946
C15244,C24661
C15244,C16180
C3349,C14477
C5802,C17847
C15244,C24162
C2057,C16796
C13473,C92
C5721,C13082
C10907,C754
C5808,C5557
C12841,C12731
C457,C17680
C21121,C1065
C3349,C184
C5787,C10674
C22439,C541
C21690,C362
C19992,C92
C627,C549
C4377,C2685
C15244,C11360
C3349,C6211
C14166,C11290
C15244,C65
C15244,C13248
C1164,C1173
C15244,C7381
C5802,C6326
C17009,C612
C15244,C15939
C1460,C12687
C15153,C1382
C15244,C19676
C15244,C22107
C5640,C12638
C18908,C3521
C15244,C22169
C3429,C1790
C11112,C754
C5802,C5299
C20371,C754
C536,C754
C612,C22858
C742,C13555
C14553,C586
C15244,C1900
C4920,C5109
C17609,C1759
C22452,C754
C743,C12616
C5136,C10577
C12246,C1065
C19978,C1527
C5588,C2814
C6058,C92
C528,C8219
C20120,C754
C4174,C11723
C16691,C754
C5136,C14341
C12166,C742
C51,C754
C586,C15838
C742,C1393
C17693,C9510
C15244,C14934
C18982,C5618
C8794,C754
C15244,C1089
C4920,C23030
C15805,C1616
C17859,C529
C3349,C19812
C17693,C6671
C19076,C754
C7464,C3287
C16825,C3349
C754,C5356
C5808,C17470
C18104,C754
C5808,C644
C1495,C1003
C15244,C8219
C3349,C6294
C22529,C18921
C5808,C14945
C18568,C754
C15244,C18104
C3028,C7272
C16882,C754
C5787,C19147
C15244,C11725
C475,C754
C529,C5753
C1973,C17372
C1670,C2721
C22662,C754
C9906,C754
C22064,C754
C15616,C754
C15244,C9956
C22529,C10208
C17788,C754
C5588,C20856
C14481,C457
C15244,C6379
C15244,C412
C22920,C7107
C15244,C8766
C4423,C2106
C4920,C17887
C1868,C3468
C15244,C21248
C17809,C754
C1216,C3028
C1618,C3814
C15244,C785
C15244,C12449
C5808,C1025
C1089,C12568
C12349,C754
C2174,C15315
C16574,C754
C17693,C24761
C5802,C21529
C15244,C162
C22623,C612
C22529,C1439
C978,C10510
C3028,C20254
C15244,C11453
C17693,C20203
C23049,C625
C543,C243
C15677,C612
C5802,C20595
C5136,C26606
C18161,C754
C1009,C1173
C16492,C754
C17693,C143
C4920,C619
C15244,C11766
C1080,C754
C8242,C754
C3349,C9079
C15244,C27094
C9201,C529
C17536,C457
C2174,C5277
C3349,C9172
C2174,C21830
C20963,C1973
C22216,C15634
C3349,C6492
C1544,C21694
C15244,C7460
C17754,C706
C22347,C2918
C15244,C25900
C5787,C22519
C19782,C5030
C22595,C754
C15235,C3028
C1100,C754
C1743,C360
C5802,C22603
C22733,C529
C15244,C7215
C3349,C8412
C5787,C346
C24748,C586
C5787,C20340
C22529,C19233
C11619,C3028
C6005,C1879
C15244,C23249
C17693,C15563
C11609,C46
C24215,C2519
C5588,C18199
C5136,C11017
C12689,C957
C15244,C22885
C518,C754
C17374,C1183
C5136,C4655
C5030,C20795
C17693,C779
C14381,C449
C20779,C13684
C21290,C5030
C2174,C19865
C19641,C12663
C15244,C1481
C5588,C14698
C15432,C4920
C13614,C612
C21054,C346
C15244,C5474
C4920,C16465
C25133,C2125
C20721,C754
C15244,C6471
C15068,C754
C23443,C18720
C400,C754
C585,C898
C2109,C10620
C22620,C625
C24453,C528
C2174,C12735
C15244,C3144
C539,C754
C528,C14789
C8982,C2106
C15244,C14549
C15244,C21006
C5802,C4341
C11388,C1973
C5136,C12147
C15708,C625
C4174,C17168
C18025,C2669
C5136,C20195
C21011,C1065
C13003,C3108
C20080,C754
C187,C754
C22965,C8509
C5720,C947
C7603,C529
C1743,C10686
C15244,C10675
C338,C754
C10552,C1884
C5808,C21394
C6427,C936
C13497,C583
C17693,C16999
C5787,C23094
C5136,C1156
C15244,C17211
C12228,C10
C5808,C15045
C15244,C22419
C754,C10305
C21058,C115
C3363,C10008
C2245,C754
C7539,C754
C22999,C528
C5787,C6673
C24484,C1065
C10751,C754
C5787,C806
C14279,C5839
C15244,C25985
C15244,C25786
C15244,C12710
C5133,C754
C17693,C2661
C2677,C294
C5136,C22546
C15244,C676
C17416,C586
C9364,C1124
C5808,C19717
C18186,C15408
C23392,C22147
C15244,C26495
C19468,C1567
C24360,C586
C22724,C3249
C9066,C1065
C754,C4866
C1124,C2007
C754,C11114
C5808,C1355
C18028,C754
C15244,C13218
C5787,C9933
C15244,C15314
C12712,C92
C7773,C467
C11634,C754
C15244,C10805
C18923,C754
C13629,C2109
C1193,C16182
C4818,C633
C1933,C754
C15244,C14474
C7954,C3249
C9436,C1124
C17993,C5720
C15555,C612
C4798,C3028
C236,C754
C10682,C46
C15244,C24937
C7040,C2109
C5808,C16076
C5787,C1567
C15244,C13179
C22322,C625
C3349,C14001
C22529,C13564
C23392,C16180
C754,C1449
C17049,C528
C22112,C5817
C15244,C281
C17693,C932
C21452,C625
C2174,C5154
C22847,C754
C11063,C754
C15244,C3455
C15650,C10131
C15244,C1254
C754,C15758
C17693,C12786
C15244,C10760
C15244,C8990
C814,C2109
C15244,C11466
C20602,C16712
C8770,C754
C23679,C529
C10175,C754
C3349,C12652
C9855,C754
C15101,C196
C15244,C13799
C3812,C16371
C15244,C6949
C5121,C754
C16264,C754
C11543,C9725
C3349,C12828
C15244,C13117
C19774,C754
C17475,C754
C1544,C196
C3156,C157
C3349,C15027
C19768,C625
C15244,C1070
C7102,C754
C12124,C528
C3349,C14663
C1618,C13060
C13807,C754
C4222,C12568
C15244,C6045
C4027,C8730
C1611,C17778
C13362,C19741
C1795,C5407
C17881,C754
C15244,C25163
C15244,C19912
C5989,C1487
C906,C4695
C14481,C612
C3156,C19741
C15244,C17694
C743,C1857
C17540,C13670
C22673,C586
C12709,C1065
C24978,C528
C15244,C4843
C18720,C1884
C23231,C612
C15244,C2089
C5721,C18731
C15244,C19227
C15244,C8974
C15244,C17520
C15244,C9810
C9120,C1336
C231,C5502
C17897,C1628
C9539,C1065
C7516,C5720
C1179,C11940
C3349,C9256
C13490,C467
C15682,C754
C15244,C18798
C16243,C754
C9780,C754
C586,C9820
C23270,C754
C15244,C13724
C3028,C15178
C18495,C8823
C4222,C708
C15244,C14770
C15244,C4245
C5802,C1487
C15244,C6240
C15244,C19388
C15244,C2081
C17693,C3422
C17693,C18859
C625,C13907
C23388,C14354
C15244,C3155
C742,C25830
C15244,C25062
C754,C504
C20175,C2106
C586,C5705
C15244,C8928
C3028,C27192
C8964,C1567
C11794,C10
C1037,C5720
C11145,C754
C5136,C2659
C7223,C46
C1442,C366
C15244,C10858
C7202,C754
C625,C23912
C3028,C21893
C515,C2109
C15244,C8011
C15408,C7601
C13243,C3028
C5693,C504
C15244,C20858
C2174,C1591
C5136,C8174
C1618,C14903
C612,C6308
C22529,C15920
C754,C14307
C3697,C3468
C754,C14089
C5808,C21
C15500,C754
C1743,C10366
C24574,C529
C2667,C1003
C16698,C754
C15244,C6799
C5136,C10105
C8021,C4920
C1503,C9679
C5787,C107
C16008,C457
C15244,C21953
C17693,C2849
C15244,C863
C1346,C23099
C16184,C457
C15244,C27168
C7884,C46
C2,C9883
C15244,C17601
C15244,C357
C12954,C3028
C348,C1784
C291,C754
C15244,C305
C3902,C754
C15244,C25502
C19265,C92
C15244,C10566
C5654,C457
C742,C14409
C2656,C449
C15244,C376
C2420,C754
C2651,C18825
C5787,C23056
C15244,C6338
C15244,C8312
C15244,C10299
C15244,C17385
C999,C754
C17693,C2195
C1934,C3468
C21063,C1015
C23757,C3300
C17693,C1980
C1065,C11723
C22538,C529
C16682,C1790
C5782,C14202
C15244,C11134
C9487,C754
C936,C16070
C236,C3433
C22515,C754
C5720,C13185
C15244,C6935
C22529,C13084
C1015,C13489
C9720,C457
C197,C754
