edge_index,edge_rarity,src_out_degree,dst_in_degree,is_ntlm,is_network_logon,is_success_auth,source_fan_out,weight_norm,is_self_loop,is_user_edge,is_unusual_dst_port,protocol_rarity,byte_per_packet,duration_zscore,temporal_decay_weight
0,1.0,1,2,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
1,0.5,1,1,1.0,1.0,1.0,1,0.5,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
2,1.0,1,2,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
3,0.2,1,4,0.0,1.0,1.0,1,0.2,1.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
4,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
5,0.5,1,3,0.0,1.0,1.0,1,0.5,1.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
6,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
7,0.5,1,3,1.0,1.0,1.0,1,0.5,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
8,0.5,1,1,1.0,1.0,1.0,1,0.5,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
9,0.5,1,3,0.0,1.0,1.0,1,0.5,1.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
10,0.3333333333333333,1,5,0.0,1.0,1.0,1,0.3333333333333333,1.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
11,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
12,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
13,1.0,1,2,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
14,0.5,1,1,0.0,1.0,1.0,1,0.5,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
15,1.0,1,2,0.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
16,1.0,1,2,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
17,0.5,1,1,0.0,1.0,1.0,1,0.5,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
18,1.0,1,2,0.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
19,1.0,1,1,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
20,1.0,1,1,0.0,0.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
21,1.0,1,1,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
22,1.0,1,1,0.0,0.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
23,0.5,1,3,0.0,1.0,1.0,1,0.5,1.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
24,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
25,1.0,1,5,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
26,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
27,1.0,1,1,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
28,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
29,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
30,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
31,1.0,1,5,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
32,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
33,1.0,1,3,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
34,0.5,1,1,1.0,1.0,1.0,1,0.5,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
35,1.0,1,4,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
36,0.5,1,1,0.0,1.0,1.0,1,0.5,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
37,1.0,1,3,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
38,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
39,0.5,1,1,0.0,1.0,1.0,1,0.5,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
40,1.0,1,5,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
41,0.5,1,2,0.0,1.0,1.0,1,0.5,1.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
42,1.0,1,1,0.0,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,-0.014705882352941176,0.0,1.0
43,1.0,5,1,0.0,0.0,1.0,5,1.0,1.0,0.0,0.0,0.0,-0.014705882352941176,0.0,1.0
