name,node_type,is_machine
C10614,computer,False
C16712,computer,False
C11227,computer,False
C25856,computer,False
C11667,computer,False
C743,computer,False
C1226,computer,False
C12267,computer,False
C12632,computer,False
C467,computer,False
C12941,computer,False
C5721,computer,False
C13470,computer,False
C13490,computer,False
C14394,computer,False
C14702,computer,False
C14967,computer,False
C15459,computer,False
C15549,computer,False
C16029,computer,False
C13283,computer,False
C13570,computer,False
C20261,computer,False
C20893,computer,False
C21112,computer,False
C24911,computer,False
C16756,computer,False
C1700,computer,False
C1843,computer,False
C185,computer,False
C1857,computer,False
C2128,computer,False
C24336,computer,False
C24474,computer,False
C2881,computer,False
C2882,computer,False
C3100,computer,False
C4814,computer,False
C8026,computer,False
C8492,computer,False
C962,computer,False
