src,dst,type,auth_type,logon_type,auth_orientation,success,time,weight,first_time,last_time,protocol,src_port,dst_port,pkt_count,byte_count,duration
C12247,C1065,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
ANONYMOUS LOGON@C1065,ANONYMOUS LOGON@C1065,auth,NTLM,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
C4429,C1065,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C528,C528,auth,?,Network,LogOff,Success,147285.0,5,147285.0,147285.0,,,,,,
ANONYMOUS LOGON@C528,ANONYMOUS LOGON@C528,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C529,C529,auth,?,Network,LogOff,Success,147285.0,2,147285.0,147285.0,,,,,,
ANONYMOUS LOGON@C529,ANONYMOUS LOGON@C529,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C13455,C586,auth,NTLM,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
ANONYMOUS LOGON@C586,ANONYMOUS LOGON@C586,auth,NTLM,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
C586,C586,auth,?,Network,LogOff,Success,147285.0,2,147285.0,147285.0,,,,,,
C2106,C2106,auth,?,Network,LogOff,Success,147285.0,3,147285.0,147285.0,,,,,,
C10045$@DOM1,C10045$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C1020$@DOM1,C1020$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C1025,C561,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C1025$@DOM1,C1025$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
C561,C561,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C1035,C467,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C1035$@DOM1,C1035$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
C467,C467,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C105,C104,auth,?,?,TGS,Success,147285.0,1,147285.0,,,,,,,
C104$@DOM1,C104$@DOM1,auth,?,?,TGS,Success,147285.0,1,147285.0,,,,,,,
C1042,C1042,auth,?,?,TGS,Success,147285.0,1,147285.0,,,,,,,
C1042$@DOM1,C1042$@DOM1,auth,?,?,TGS,Success,147285.0,1,147285.0,,,,,,,
C612,C612,auth,?,Network,LogOff,Success,147285.0,2,147285.0,147285.0,,,,,,
C10445$@DOM1,C10445$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C10805,C2106,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C10805$@DOM1,C10805$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C1115,C1085,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C1114$@DOM1,C1114$@DOM1,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C11639$@DOM1,C11639$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C11741$@DOM1,C11741$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C11886,C2106,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C11886$@DOM1,C11886$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C11888,C612,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C11888$@DOM1,C11888$@DOM1,auth,NTLM,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
C12135,C528,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C12135$@DOM1,C12135$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
C1214,C529,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C1214$@DOM1,C1214$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C123$@DOM1,C123$@DOM1,auth,?,Network,LogOff,Success,147285.0,2,147285.0,147285.0,,,,,,
C527,C2106,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C457,C457,auth,?,Network,LogOff,Success,147285.0,2,147285.0,147285.0,,,,,,
C12702$@DOM1,C12702$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C13039,C13039,auth,?,?,TGS,Success,147285.0,1,147285.0,,,,,,,
