source_node,path_score,path_nodes,path_edges,path_length
C12247,1.3211538461538461,C12247 -> C1065,0,1
C1115,1.3211538461538461,C1115 -> C1085,27,1
C4429,1.3211538461538461,C4429 -> C1065,2,1
C14746,1.3211538461538461,C14746 -> C1015,65,1
C11888,1.3211538461538461,C11888 -> C612,33,1
C13455,1.1057692307692306,C13455 -> C586,7,1
C16712,0.8256410256410257,C16712 -> C20261,87,1
C16712,0.8256410256410257,C16712 -> C21112,89,1
C16712,0.8256410256410257,C16712 -> C24911,90,1
C11227,0.8256410256410257,C11227 -> C25856,70,1
C12941,0.8256410256410257,C12941 -> C5721,75,1
C16712,0.8256410256410257,C16712 -> C13283,84,1
C16712,0.8256410256410257,C16712 -> C13570,86,1
C1025,0.7211538461538461,C1025 -> C561,13,1
C10805,0.7211538461538461,C10805 -> C2106,25,1
C527,0.7211538461538461,C527 -> C2106,40,1
C1214,0.7211538461538461,C1214 -> C529,37,1
C12135,0.7211538461538461,C12135 -> C528,35,1
C13968,0.7211538461538461,C13968 -> C528,56,1
C1422,0.7211538461538461,C1422 -> C2106,58,1
C14709,0.7211538461538461,C14709 -> C528,63,1
C11886,0.7211538461538461,C11886 -> C2106,31,1
C1035,0.7211538461538461,C1035 -> C467,16,1
C1475,0.7211538461538461,C1475 -> C457,67,1
C13490,0.7200206096664509,C13490 -> C16712 -> C24911,"77,90",2
C13490,0.7200206096664509,C13490 -> C16712 -> C20261,"77,87",2
C13490,0.7200206096664509,C13490 -> C16712 -> C13570,"77,86",2
C13490,0.7200206096664509,C13490 -> C16712 -> C13283,"77,84",2
C13490,0.7200206096664509,C13490 -> C16712 -> C21112,"77,89",2
C13470,0.6970084365249529,C13470 -> C16712 -> C24911,"76,90",2
C13470,0.6970084365249529,C13470 -> C16712 -> C21112,"76,89",2
C13470,0.6970084365249529,C13470 -> C16712 -> C20261,"76,87",2
C13470,0.6970084365249529,C13470 -> C16712 -> C13570,"76,86",2
C16756,0.6970084365249529,C16756 -> C16712 -> C24911,"116,90",2
C13470,0.6970084365249529,C13470 -> C16712 -> C13283,"76,84",2
C16029,0.6970084365249529,C16029 -> C16712 -> C24911,"83,90",2
C1226,0.6970084365249529,C1226 -> C16712 -> C13570,"72,86",2
C12267,0.6970084365249529,C12267 -> C16712 -> C24911,"73,90",2
C16756,0.6970084365249529,C16756 -> C16712 -> C13283,"116,84",2
C16756,0.6970084365249529,C16756 -> C16712 -> C20261,"116,87",2
C12267,0.6970084365249529,C12267 -> C16712 -> C21112,"73,89",2
C16756,0.6970084365249529,C16756 -> C16712 -> C13570,"116,86",2
C12267,0.6970084365249529,C12267 -> C16712 -> C20261,"73,87",2
C12267,0.6970084365249529,C12267 -> C16712 -> C13283,"73,84",2
C1226,0.6970084365249529,C1226 -> C16712 -> C24911,"72,90",2
C1226,0.6970084365249529,C1226 -> C16712 -> C21112,"72,89",2
C1226,0.6970084365249529,C1226 -> C16712 -> C13283,"72,84",2
C1226,0.6970084365249529,C1226 -> C16712 -> C20261,"72,87",2
C16756,0.6970084365249529,C16756 -> C16712 -> C21112,"116,89",2
C14394,0.6970084365249529,C14394 -> C16712 -> C20261,"78,87",2
