src,dst
C11194,C754
C17096,C585
C2109,C1947
C16522,C5721
C15692,C2109
C20274,C585
C20317,C585
C18071,C23778
C9743,C585
C11883,C586
C9199,C585
C9755,C585
C17693,C20230
C534,C585
C21499,C5721
C21095,C457
C1202,C585
C21765,C5720
C22852,C5720
C1507,C754
C1751,C585
C19827,C5736
C18953,C585
C13937,C754
C20773,C585
C5802,C20539
C16275,C2651
C12904,C743
C5909,C5720
C21132,C585
C1012,C585
C1054,C754
C887,C5736
C391,C3909
C16784,C625
C16397,C5720
C7154,C5720
C13740,C5721
C19263,C9883
C23154,C5720
C5787,C20561
C11587,C5721
C7328,C23269
C1291,C585
C22066,C585
C6673,C5721
C21389,C754
C3342,C5720
C9784,C2651
C342,C3468
C19481,C585
C18821,C5721
C6733,C585
C14642,C2651
C8094,C585
C22333,C5721
C162,C5721
C15371,C5720
C22340,C2651
C10022,C5721
C15051,C754
C22554,C754
C645,C2651
C13452,C754
C19848,C585
C2385,C5736
C14994,C754
C20660,C754
C2382,C5721
C118,C5721
C15721,C585
C17693,C21814
C6979,C2651
C7844,C15865
C18386,C585
C7073,C5721
C8836,C2651
C206,C585
C21457,C585
C2057,C2438
C10305,C754
C23195,C754
C12194,C585
C16576,C754
C20133,C754
C10675,C585
C77,C5721
C8119,C585
C22484,C585
C18369,C5721
C1583,C5463
C12628,C2109
C9780,C754
C5720,C11661
C314,C585
C22930,C5721
C7871,C5096
C9091,C743
C22828,C754
C5828,C754
C5834,C585
C3542,C743
C13657,C585
C12857,C585
C17662,C585
C7190,C585
C7898,C754
C18142,C2651
C8615,C5720
C22671,C5720
C22668,C5721
C7170,C754
C6625,C585
C2428,C754
C979,C5720
C17693,C26866
C22693,C754
C18908,C585
C10208,C1277
C22830,C5721
C10880,C754
C23093,C585
C7472,C585
C13378,C754
C22085,C585
C24084,C754
C13981,C585
C1906,C1973
C13225,C585
C17425,C5721
C9289,C585
C1517,C585
C338,C754
C18043,C625
C16976,C754
C10579,C743
C14897,C585
C17182,C1065
C19803,C743
C19189,C5721
C9024,C5720
C13896,C2651
C9238,C5720
C755,C2651
C11394,C585
C15540,C2651
C3442,C585
C11001,C585
C8673,C743
C5811,C754
C234,C5721
C1303,C20738
C20667,C625
C22873,C754
C7256,C1875
C16760,C585
C8768,C2651
C17192,C585
C473,C585
C17693,C1401
C955,C585
C17217,C585
C19038,C2651
C16071,C2174
C3292,C5721
C14476,C743
C13356,C585
C26969,C5721
C21913,C5721
C10520,C5721
C17693,C17874
C13026,C754
C8513,C5720
C272,C5721
C13270,C585
C24270,C754
C2103,C5720
C11748,C585
C19867,C2651
C370,C585
C3081,C754
C9643,C585
C20431,C585
C10568,C754
C19025,C5096
C14982,C754
C7113,C2651
C17368,C5721
C6328,C585
C1364,C585
C12004,C2651
C390,C585
C771,C2651
C17693,C20935
C12337,C754
C10555,C5720
C6576,C585
C16650,C2651
C9799,C5720
C17464,C585
C7822,C743
C8664,C5721
C6939,C625
C6521,C585
C9820,C586
C13030,C5720
C17693,C4773
C1372,C585
C14057,C2109
C12920,C585
C17415,C585
C21036,C5720
C17693,C925
C12133,C585
C22154,C26737
C13086,C529
C17823,C18057
C6705,C743
C1649,C585
C3450,C585
C12873,C754
C850,C2651
C15786,C585
C2633,C5720
C7247,C585
C79,C5721
C1589,C5720
C20413,C5720
C2484,C585
C281,C585
C17693,C13254
C1716,C754
C8974,C585
C13988,C754
C14136,C754
C6619,C585
C9637,C5721
C53,C5721
C8745,C585
C11342,C457
C11643,C528
C6269,C585
C1501,C5720
C22118,C585
C6998,C585
C1211,C1056
C10716,C2109
C22370,C5721
C12996,C754
C16291,C1065
C985,C585
C21374,C754
C23084,C5720
C20347,C2651
C12887,C585
C1746,C5721
C23009,C585
C9368,C743
C10543,C585
C10277,C585
C3185,C754
C19109,C5721
C8293,C5720
C21814,C3574
C17693,C2848
C12414,C754
C15180,C585
C5858,C5721
C20511,C2174
C10796,C585
C18401,C754
C9222,C585
C783,C5720
C11122,C585
C1454,C585
C6467,C529
C11631,C743
C11427,C585
