src,dst,type,auth_type,logon_type,auth_orientation,success,time,weight,first_time,last_time
C12247,C1065,auth,NTLM,Network,LogOn,Success,147285.0,2,147285.0,147312.0
ANONYMOUS LOGON@C1065,ANONYMOUS LOGON@C1065,auth,NTLM,Network,LogOn,Success,147285.0,48,147285.0,147510.0
C4429,C1065,auth,NTLM,Network,LogOn,Success,147285.0,5,147285.0,147313.0
C528,C528,auth,?,Network,LogOff,Success,147285.0,1679,147285.0,147510.0
ANONYMOUS LOGON@C528,ANONYMOUS LOGON@C528,auth,?,Network,LogOff,Success,147285.0,40,147285.0,147508.0
C529,C529,auth,?,Network,LogOff,Success,147285.0,2049,147285.0,147511.0
ANONYMOUS LOGON@C529,ANONYMOUS LOGON@C529,auth,?,Network,LogOff,Success,147285.0,93,147285.0,147511.0
C13455,C586,auth,NTLM,Network,LogOn,Success,147285.0,2,147285.0,147285.0
ANONYMOUS LOGON@C586,ANONYMOUS LOGON@C586,auth,NTLM,Network,LogOn,Success,147285.0,864,147285.0,147511.0
C586,C586,auth,?,Network,LogOff,Success,147285.0,2609,147285.0,147511.0
C2106,C2106,auth,?,Network,LogOff,Success,147285.0,691,147285.0,147452.0
C10045$@DOM1,C10045$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,
C1020$@DOM1,C1020$@DOM1,auth,?,Network,LogOff,Success,147285.0,3,147285.0,147378.0
C1025,C561,auth,Kerberos,Network,LogOn,Success,147285.0,7,147285.0,147496.0
C1025$@DOM1,C1025$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,18,147285.0,147496.0
C561,C561,auth,?,Network,LogOff,Success,147285.0,16,147285.0,147496.0
C1035,C467,auth,Kerberos,Network,LogOn,Success,147285.0,115,147285.0,147510.0
C1035$@DOM1,C1035$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,230,147285.0,147510.0
C467,C467,auth,?,Network,LogOff,Success,147285.0,1703,147285.0,147510.0
C105,C104,auth,?,?,TGS,Success,147285.0,120,147285.0,147509.0
C104$@DOM1,C104$@DOM1,auth,?,?,TGS,Success,147285.0,712,147285.0,147511.0
C1042,C1042,auth,?,?,TGS,Success,147285.0,1,147285.0,
C1042$@DOM1,C1042$@DOM1,auth,?,?,TGS,Success,147285.0,7,147285.0,147451.0
C612,C612,auth,?,Network,LogOff,Success,147285.0,1894,147285.0,147511.0
C10445$@DOM1,C10445$@DOM1,auth,?,Network,LogOff,Success,147285.0,28,147285.0,147485.0
C10805,C2106,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,
C10805$@DOM1,C10805$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,2,147285.0,147288.0
C1115,C1085,auth,NTLM,Network,LogOn,Success,147285.0,8,147285.0,147500.0
C1114$@DOM1,C1114$@DOM1,auth,NTLM,Network,LogOn,Success,147285.0,804,147285.0,147510.0
C11639$@DOM1,C11639$@DOM1,auth,?,Network,LogOff,Success,147285.0,5,147285.0,147302.0
C11741$@DOM1,C11741$@DOM1,auth,?,Network,LogOff,Success,147285.0,5,147285.0,147306.0
C11886,C2106,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,
C11886$@DOM1,C11886$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,4,147285.0,147349.0
C11888,C612,auth,NTLM,Network,LogOn,Success,147285.0,6,147285.0,147332.0
C11888$@DOM1,C11888$@DOM1,auth,NTLM,Network,LogOn,Success,147285.0,34,147285.0,147501.0
C12135,C528,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,
C12135$@DOM1,C12135$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,3,147285.0,147286.0
C1214,C529,auth,Kerberos,Network,LogOn,Success,147285.0,2,147285.0,147299.0
C1214$@DOM1,C1214$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,4,147285.0,147311.0
C123$@DOM1,C123$@DOM1,auth,?,Network,LogOff,Success,147285.0,268,147285.0,147509.0
C527,C2106,auth,Kerberos,Network,LogOn,Success,147285.0,2,147285.0,147350.0
C457,C457,auth,?,Network,LogOff,Success,147285.0,1593,147285.0,147511.0
C12702$@DOM1,C12702$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,
C13039,C13039,auth,?,?,TGS,Success,147285.0,1,147285.0,
C13039$@DOM1,C13039$@DOM1,auth,?,?,TGS,Success,147285.0,25,147285.0,147447.0
C13039,C529,auth,?,?,TGS,Success,147285.0,4,147285.0,147435.0
C13039,C586,auth,?,?,TGS,Success,147285.0,3,147285.0,147293.0
C13039,C612,auth,?,?,TGS,Success,147285.0,3,147285.0,147317.0
C13039,TGT,auth,?,?,TGS,Success,147285.0,1,147285.0,
C13084$@DOM1,C13084$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,
C1323$@DOM1,C1323$@DOM1,auth,?,Network,LogOff,Success,147285.0,5,147285.0,147312.0
C13455$@DOM1,C13455$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,2,147285.0,147309.0
C13701,C13701,auth,?,?,AuthMap,Success,147285.0,5,147285.0,147320.0
C13701$@DOM1,C13701$@DOM1,auth,?,?,AuthMap,Success,147285.0,12,147285.0,147400.0
C13781,C13781,auth,?,Network,LogOff,Success,147285.0,4,147285.0,147285.0
C13781$@DOM1,C13781$@DOM1,auth,?,Network,LogOff,Success,147285.0,13,147285.0,147315.0
C13968,C528,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,
C13968$@DOM1,C13968$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,2,147285.0,147295.0
C1422,C2106,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,
C1422$@DOM1,C1422$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,5,147285.0,147351.0
C14354$@DOM1,C14354$@DOM1,auth,?,Network,LogOff,Success,147285.0,3,147285.0,147470.0
C801,C801,auth,?,Network,LogOff,Success,147285.0,317,147285.0,147510.0
C14670$@DOM1,C14670$@DOM1,auth,?,Network,LogOff,Success,147285.0,22,147285.0,147506.0
C14709,C528,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,
C14709$@DOM1,C14709$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,2,147285.0,147295.0
C14746,C1015,auth,NTLM,Network,LogOn,Success,147285.0,31,147285.0,147501.0
C14746$@DOM1,C14746$@DOM1,auth,NTLM,Network,LogOn,Success,147285.0,17,147285.0,147501.0
C1475,C457,auth,Kerberos,Network,LogOn,Success,147285.0,2,147285.0,147288.0
C1475$@DOM1,C1475$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,14,147285.0,147352.0
