edge_index,edge_rarity,src_out_degree,dst_in_degree,src_fan_out,normalized_weight,is_self_loop,is_user_edge,is_ntlm,is_network_logon,auth_success,is_unusual_dst_port,is_ephemeral,protocol_rarity,byte_per_packet_ratio,duration_z_score
0,0.5,9,737,0.6428571428571429,0.006535947712418301,0,0,1,1,0,0,0,0.0,0.0,0.0
1,0.020833333333333332,1,1,0.5,0.30718954248366015,1,1,1,1,0,0,0,0.0,0.0,0.0
2,0.2,3,737,0.75,0.026143790849673203,0,0,1,1,0,0,0,0.0,0.0,0.0
3,0.0005955926146515784,310,872,0.2622673434856176,0.954248366013072,1,0,0,1,0,0,0,0.0,0.0,0.0
4,0.025,1,1,0.5,0.2549019607843137,1,1,0,1,0,0,0,0.0,0.0,0.0
5,0.0004880429477794046,161,779,0.17127659574468085,0.9803921568627451,1,0,0,1,0,0,0,0.0,0.0,0.0
6,0.010752688172043012,1,1,0.5,0.5490196078431373,1,1,0,1,0,0,0,0.0,0.0,0.0
7,0.5,2,1321,1.0,0.006535947712418301,0,0,1,1,0,0,0,0.0,0.0,0.0
8,0.0011574074074074073,1,1,0.5,0.934640522875817,1,1,1,1,0,0,0,0.0,0.0,0.0
9,0.0003832886163280951,345,1321,0.2070828331332533,0.9869281045751634,1,0,0,1,0,0,0,0.0,0.0,0.0
10,0.001447178002894356,1,434,0.0022988505747126436,0.9019607843137255,1,0,0,1,0,0,0,0.0,0.0,0.0
11,1.0,1,1,0.5,0.0,1,1,0,1,0,0,0,0.0,0.0,0.0
12,0.3333333333333333,1,1,0.5,0.013071895424836602,1,1,0,1,0,0,0,0.0,0.0,0.0
13,0.14285714285714285,2,3,0.5,0.0392156862745098,0,0,0,1,0,0,0,0.0,0.0,0.0
14,0.05555555555555555,1,1,0.5,0.1111111111111111,1,1,0,1,0,0,0,0.0,0.0,0.0
15,0.0625,6,3,0.6666666666666666,0.09803921568627451,1,0,0,1,0,0,0,0.0,0.0,0.0
16,0.008695652173913044,3,865,0.75,0.6209150326797386,0,0,0,1,0,0,0,0.0,0.0,0.0
17,0.004347826086956522,2,1,0.6666666666666666,0.7712418300653595,1,1,0,1,0,0,0,0.0,0.0,0.0
18,0.0005871990604815032,243,865,0.21931407942238268,0.9607843137254902,1,0,0,1,0,0,0,0.0,0.0,0.0
19,0.008333333333333333,16,5,0.9411764705882353,0.6405228758169934,0,0,0,0,0,0,0,0.0,0.0,0.0
20,0.0014044943820224719,1,1,0.5,0.9084967320261438,1,1,0,0,0,0,0,0.0,0.0,0.0
21,1.0,3,1,0.75,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0
22,0.14285714285714285,1,1,0.5,0.0392156862745098,1,1,0,0,0,0,0,0.0,0.0,0.0
23,0.0005279831045406547,202,854,0.19128787878787878,0.9738562091503268,1,0,0,1,0,0,0,0.0,0.0,0.0
24,0.03571428571428571,3,2,0.6,0.17647058823529413,1,1,0,1,0,0,0,0.0,0.0,0.0
