name,node_type,is_machine
C12247,computer,False
C1065,computer,False
ANONYMOUS LOGON@C1065,user,False
C4429,computer,False
C528,computer,False
ANONYMOUS LOGON@C528,user,False
C529,computer,False
ANONYMOUS LOGON@C529,user,False
C13455,computer,False
C586,computer,False
ANONYMOUS LOGON@C586,user,False
C2106,computer,False
C10045$@DOM1,user,True
C1020$@DOM1,user,True
C1025,computer,False
C561,computer,False
C1025$@DOM1,user,True
C1035,computer,False
C467,computer,False
C1035$@DOM1,user,True
C105,computer,False
C104,computer,False
C104$@DOM1,user,True
C1042,computer,False
C1042$@DOM1,user,True
C612,computer,False
C10445$@DOM1,user,True
C10805,computer,False
C10805$@DOM1,user,True
C1115,computer,False
C1085,computer,False
C1114$@DOM1,user,True
C11639$@DOM1,user,True
C11741$@DOM1,user,True
C11886,computer,False
C11886$@DOM1,user,True
C11888,computer,False
C11888$@DOM1,user,True
C12135,computer,False
C12135$@DOM1,user,True
C1214,computer,False
C1214$@DOM1,user,True
C123$@DOM1,user,True
C527,computer,False
C457,computer,False
C12702$@DOM1,user,True
C13039,computer,False
C13039$@DOM1,user,True
TGT,computer,False
C13084$@DOM1,user,True
C1323$@DOM1,user,True
C13455$@DOM1,user,True
C13701,computer,False
C13701$@DOM1,user,True
C13781,computer,False
C13781$@DOM1,user,True
C13968,computer,False
C13968$@DOM1,user,True
C1422,computer,False
C1422$@DOM1,user,True
C14354$@DOM1,user,True
C801,computer,False
C14670$@DOM1,user,True
C14709,computer,False
C14709$@DOM1,user,True
C14746,computer,False
C1015,computer,False
C14746$@DOM1,user,True
C1475,computer,False
C1475$@DOM1,user,True
C14850$@DOM1,user,True
C14930,computer,False
C14930$@DOM1,user,True
C1503,computer,False
C1503$@DOM1,user,True
C1519$@DOM1,user,True
C1519,computer,False
C1798,computer,False
C2162,computer,False
C15602$@DOM1,user,True
C15715$@DOM1,user,True
C1573$@DOM1,user,True
C101,computer,False
C1617$@DOM1,user,True
C1618,computer,False
C553,computer,False
C16318$@DOM1,user,True
C1634,computer,False
C1634$@DOM1,user,True
C1640$@DOM1,user,True
C2109,computer,False
C2110,computer,False
C1677$@DOM1,user,True
C17262$@DOM1,user,True
C17262,computer,False
C1727,computer,False
C1881,computer,False
C1727$@DOM1,user,True
C17422$@DOM1,user,True
C17514$@DOM1,user,True
C17631,computer,False
C17631$@DOM1,user,True
C17707,computer,False
C231,computer,False
C17707$@DOM1,user,True
C1794$@DOM1,user,True
C1795,computer,False
C187,computer,False
C187$@DOM1,user,True
C1961,computer,False
C1961$@DOM1,user,True
C2008,computer,False
C2008$@DOM1,user,True
U638@DOM1,user,False
C2057,computer,False
C2057$@DOM1,user,True
C2093,computer,False
C2092$@DOM1,user,True
C9228,computer,False
C2162$@DOM1,user,True
C2247,computer,False
C2246$@DOM1,user,True
C2252,computer,False
C2251$@DOM1,user,True
C2337,computer,False
C2336$@DOM1,user,True
C241$@DOM1,user,True
C241,computer,False
C2724,computer,False
C2724$@DOM1,user,True
C290$@DOM1,user,True
C3101,computer,False
C3101$@DOM1,user,True
C334,computer,False
C334$@DOM1,user,True
C3386$@DOM1,user,True
C3430,computer,False
C3430$@DOM1,user,True
C743,computer,False
C3828$@DOM1,user,True
C428,computer,False
C428$@DOM1,user,True
C4429$@DOM1,user,True
C4529,computer,False
C4529$@DOM1,user,True
C4843$@DOM1,user,True
C4871,computer,False
C4871$@DOM1,user,True
C4874,computer,False
C4874$@DOM1,user,True
C5255,computer,False
C5255$@DOM1,user,True
C538$@DOM1,user,True
C539,computer,False
C567$@DOM1,user,True
C599$@DOM1,user,True
C1619,computer,False
C599,computer,False
C6096$@DOM1,user,True
C6151$@DOM1,user,True
C62,computer,False
C62$@DOM1,user,True
C649$@DOM1,user,True
C649,computer,False
C6909$@DOM1,user,True
C702,computer,False
C702$@DOM1,user,True
C7296,computer,False
C7296$@DOM1,user,True
C7794,computer,False
C7794$@DOM1,user,True
C7993$@DOM1,user,True
C7993,computer,False
C804,computer,False
C804$@DOM1,user,True
C8141,computer,False
C8141$@DOM1,user,True
C8293,computer,False
C8293$@DOM1,user,True
C8363,computer,False
C8363$@DOM1,user,True
C8779$@DOM1,user,True
C9202$@DOM1,user,True
C9475,computer,False
C9475$@DOM1,user,True
C9986$@DOM1,user,True
LOCAL SERVICE@C13781,user,False
C16162,computer,False
LOCAL SERVICE@C16162,user,False
NETWORK SERVICE@C13781,user,False
U106@DOM1,user,False
U1211@DOM1,user,False
U133@DOM1,user,False
U13@DOM1,user,False
C10632,computer,False
U1589@DOM1,user,False
C419,computer,False
U15@DOM1,user,False
U1729@DOM1,user,False
C3181,computer,False
C1173,computer,False
U174@DOM1,user,False
U1951@DOM1,user,False
U1@DOM1,user,False
C6715,computer,False
U2262@DOM1,user,False
U22@DOM1,user,False
C506,computer,False
U2789@DOM1,user,False
C7997,computer,False
U2919@DOM1,user,False
C5117,computer,False
U299@DOM1,user,False
U3111@DOM1,user,False
U3184@DOM1,user,False
C9195,computer,False
C338,computer,False
U3455@DOM1,user,False
C400,computer,False
U3660@DOM1,user,False
C3249,computer,False
U3662@DOM1,user,False
C9471,computer,False
U3677@DOM1,user,False
U3775@DOM1,user,False
U3@DOM1,user,False
U4060@DOM1,user,False
C10682,computer,False
U4251@DOM1,user,False
C10823,computer,False
U4290@DOM1,user,False
C10988,computer,False
C2327,computer,False
U4376@DOM1,user,False
U4425@DOM1,user,False
U4499@DOM1,user,False
U453@DOM1,user,False
U4591@DOM1,user,False
C11839,computer,False
U4896@DOM1,user,False
C2310,computer,False
U48@DOM1,user,False
C12129,computer,False
U4999@DOM1,user,False
U5085@DOM1,user,False
C12402,computer,False
C3443,computer,False
U5171@DOM1,user,False
C12568,computer,False
U5251@DOM1,user,False
C868,computer,False
U52@DOM1,user,False
U5410@DOM1,user,False
U5416@DOM1,user,False
U548@DOM1,user,False
U5573@DOM1,user,False
C13158,computer,False
C1640,computer,False
U5609@DOM1,user,False
U5855@DOM1,user,False
C13596,computer,False
U5898@DOM1,user,False
U5947@DOM1,user,False
C14032,computer,False
U6177@DOM1,user,False
U6502@DOM1,user,False
U6575@DOM1,user,False
C2358,computer,False
U66@DOM1,user,False
U6813@DOM1,user,False
C1681,computer,False
U68@DOM1,user,False
C1788,computer,False
U70@DOM1,user,False
C15763,computer,False
U7130@DOM1,user,False
U7223@DOM1,user,False
U7645@DOM1,user,False
C5157,computer,False
U818@DOM1,user,False
U945@DOM1,user,False
C13502,computer,False
ANONYMOUS LOGON@C2106,user,False
C3110,computer,False
ANONYMOUS LOGON@C457,user,False
C4761,computer,False
C18184,computer,False
C10033$@DOM1,user,True
C10083,computer,False
C10083$@DOM1,user,True
C10179,computer,False
C10179$@DOM1,user,True
C10185$@DOM1,user,True
C523,computer,False
C1043,computer,False
C1043$@DOM1,user,True
C1078$@DOM1,user,True
C10786$@DOM1,user,True
C988,computer,False
C11220,computer,False
C11220$@DOM1,user,True
C1126$@DOM1,user,True
C1139,computer,False
C1139$@DOM1,user,True
C11872$@DOM1,user,True
C12139,computer,False
C12139$@DOM1,user,True
C1276$@DOM1,user,True
C13166,computer,False
C13166$@DOM1,user,True
C13279,computer,False
C13279$@DOM1,user,True
C13386,computer,False
C13386$@DOM1,user,True
C625,computer,False
C14032$@DOM1,user,True
C14160,computer,False
C14160$@DOM1,user,True
C1432$@DOM1,user,True
C1443,computer,False
C1443$@DOM1,user,True
C1454$@DOM1,user,True
C14823,computer,False
C14823$@DOM1,user,True
C14878$@DOM1,user,True
C14938,computer,False
C14938$@DOM1,user,True
U6758@DOM1,user,False
C1521,computer,False
C14940$@DOM1,user,True
C15128$@DOM1,user,True
C15731$@DOM1,user,True
C15809,computer,False
C15809$@DOM1,user,True
C15821$@DOM1,user,True
C15895$@DOM1,user,True
C16308$@DOM1,user,True
C16375,computer,False
C16375$@DOM1,user,True
C1643,computer,False
C1642$@DOM1,user,True
C1663$@DOM1,user,True
C16638,computer,False
C16638$@DOM1,user,True
C16865,computer,False
C16865$@DOM1,user,True
C706,computer,False
C1840$@DOM1,user,True
C1845$@DOM1,user,True
C1856$@DOM1,user,True
C1884$@DOM1,user,True
C2097,computer,False
C2096$@DOM1,user,True
C2119$@DOM1,user,True
C2120,computer,False
C2312,computer,False
C2311$@DOM1,user,True
C2398,computer,False
C2397$@DOM1,user,True
C2792$@DOM1,user,True
C2879$@DOM1,user,True
C2956$@DOM1,user,True
C3242,computer,False
C3242$@DOM1,user,True
C338$@DOM1,user,True
C3506$@DOM1,user,True
C41,computer,False
C41$@DOM1,user,True
C450,computer,False
C450$@DOM1,user,True
C4761$@DOM1,user,True
C4777,computer,False
C4776$@DOM1,user,True
C4822$@DOM1,user,True
C4823$@DOM1,user,True
C4837,computer,False
C4837$@DOM1,user,True
C4839$@DOM1,user,True
C4897$@DOM1,user,True
C4903$@DOM1,user,True
C5143,computer,False
C5143$@DOM1,user,True
C529$@DOM1,user,True
C553$@DOM1,user,True
C586$@DOM1,user,True
C5905$@DOM1,user,True
C602,computer,False
C602$@DOM1,user,True
C6336$@DOM1,user,True
C656,computer,False
C656$@DOM1,user,True
C6619,computer,False
C6619$@DOM1,user,True
C677$@DOM1,user,True
C699$@DOM1,user,True
C706$@DOM1,user,True
C7303$@DOM1,user,True
C3173,computer,False
C7626$@DOM1,user,True
C844,computer,False
C844$@DOM1,user,True
C8673,computer,False
C8673$@DOM1,user,True
C868$@DOM1,user,True
C9140,computer,False
C9140$@DOM1,user,True
C9161$@DOM1,user,True
C9176$@DOM1,user,True
C9209$@DOM1,user,True
C9228$@DOM1,user,True
C9252$@DOM1,user,True
C9972$@DOM1,user,True
C10000,computer,False
C9999$@DOM1,user,True
C4069,computer,False
NETWORK SERVICE@C4069,user,False
U1073@DOM1,user,False
C1710,computer,False
U113@DOM1,user,False
U53@DOM1,user,False
C13191,computer,False
U1198@DOM1,user,False
C426,computer,False
U14@DOM1,user,False
C1929,computer,False
U199@?,user,False
U200@DOM1,user,False
C6427,computer,False
U2137@DOM1,user,False
U2198@DOM1,user,False
C23769,computer,False
U273@DOM1,user,False
U2751@DOM1,user,False
U2801@DOM1,user,False
U3138@DOM1,user,False
U3427@DOM1,user,False
C8736,computer,False
U3586@DOM1,user,False
