src,dst,type,protocol,src_port,dst_port,pkt_count,byte_count,duration,time,weight,first_time,last_time
C10614,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C11227,C25856,flow,6.0,N1415,22.0,1.0,46.0,0.0,147285.0,2,147285.0,147585.0
C11667,C743,flow,6.0,N3529,139.0,1.0,46.0,0.0,147285.0,4,147285.0,147646.0
C1226,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C12267,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C12632,C467,flow,17.0,123.0,123.0,1.0,96.0,0.0,147285.0,2,147285.0,147306.0
C12941,C5721,flow,6.0,N956,445.0,2.0,178.0,0.0,147285.0,1,147285.0,
C13470,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C13490,C16712,flow,6.0,22.0,N39398,1.0,46.0,0.0,147285.0,1,147285.0,
C14394,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C14702,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C14967,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C15459,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C15549,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C16029,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C16712,C13283,flow,6.0,N39398,22.0,1.0,76.0,0.0,147285.0,5,147285.0,147287.0
C16712,C13490,flow,6.0,N39398,22.0,1.0,76.0,0.0,147285.0,2,147285.0,147285.0
C16712,C13570,flow,6.0,N39398,22.0,1.0,76.0,0.0,147285.0,5,147285.0,147287.0
C16712,C20261,flow,6.0,N39398,22.0,1.0,76.0,0.0,147285.0,5,147285.0,147287.0
C16712,C20893,flow,6.0,N39398,22.0,1.0,76.0,0.0,147285.0,5,147285.0,147286.0
C16712,C21112,flow,6.0,N39398,22.0,1.0,76.0,0.0,147285.0,5,147285.0,147287.0
C16712,C24911,flow,6.0,N39398,22.0,1.0,76.0,0.0,147285.0,5,147285.0,147287.0
C16712,C10614,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C16712,C1226,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C16712,C12267,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C16712,C13470,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C16712,C14394,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C16712,C14702,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C16712,C14967,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C16712,C15459,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C16712,C15549,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,1,147285.0,
C16712,C16029,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,1,147285.0,
