node,in_degree,out_degree,total_degree,fan_out_ratio,betweenness_centrality,inter_arrival_mean,inter_arrival_std,burst_score,active_duration
C10614,3,3,6,0.5,0.0003400114441843744,107.5,11.5,0.3333333333333333,215.0
C16712,167,256,423,0.6052009456264775,0.051288584878256945,1.5333333333333334,14.257226123339214,0.46875,391.0
C11227,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C25856,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C11667,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C743,33,36,69,0.5217391304347826,0.0013258996563907392,10.057142857142857,12.77932002917852,0.25,352.0
C1226,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C12267,4,4,8,0.5,0.0009277014961166139,61.0,13.73559851869101,0.25,183.0
C12632,4,3,7,0.42857142857142855,0.00017950251439510887,10.5,10.5,0.6666666666666666,21.0
C467,239,239,478,0.5,0.054694312431032954,1.6428571428571428,1.9731845790379523,0.1589958158995816,391.0
C12941,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C5721,858,447,1305,0.3425287356321839,0.17280483551583717,0.8654708520179372,3.458248166872867,0.5906040268456376,386.0
C13470,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C13490,2,2,4,0.5,0.00011824411378842672,180.0,0.0,0.5,180.0
C14394,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C14702,3,3,6,0.5,0.0002768843458909647,133.5,133.5,0.6666666666666666,267.0
C14967,2,2,4,0.5,0.0004828424180654413,63.0,0.0,0.5,63.0
C15459,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C15549,2,2,4,0.5,0.00022841500151330713,76.0,0.0,0.5,76.0
C16029,2,2,4,0.5,0.00042048369054165796,170.0,0.0,0.5,170.0
C13283,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C13570,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C20261,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C20893,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C21112,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C24911,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C16756,2,2,4,0.5,0.00022841500151330713,178.0,0.0,0.5,178.0
C1700,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C1843,9,9,18,0.5,0.0015844080332347358,17.0,24.325912110340283,0.6666666666666666,136.0
C185,2,2,4,0.5,6.967564513997142e-05,240.0,0.0,0.5,240.0
C1857,2,2,4,0.5,6.074710678845521e-05,99.0,0.0,0.5,99.0
C2128,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C24336,2,2,4,0.5,0.0005452064954499292,90.0,0.0,0.5,90.0
C24474,2,2,4,0.5,0.0004828424180654413,57.0,0.0,0.5,57.0
C2881,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C2882,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C3100,2,2,4,0.5,0.00022841500151330713,65.0,0.0,0.5,65.0
C4814,2,2,4,0.5,9.21579097351049e-05,176.0,0.0,0.5,176.0
C8026,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C8492,3,3,6,0.5,0.000141430490646056,185.0,111.0,0.3333333333333333,370.0
C962,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C1685,559,559,1118,0.5,0.1633917036567711,0.6989247311827957,0.8332466135939515,0.15026833631484796,390.0
C20473,2,2,4,0.5,8.15912019830574e-05,2.0,0.0,0.5,2.0
C9156,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C1707,566,565,1131,0.4995579133510168,0.17574832109684185,0.6879432624113475,0.8111348478901009,0.1504424778761062,388.0
C6211,3,3,6,0.5,0.00018666775586902607,121.0,22.0,0.3333333333333333,242.0
C8677,3,3,6,0.5,0.006414997161506464,26.5,11.5,0.3333333333333333,53.0
C17693,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C5074,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C1823,6,6,12,0.5,0.001161513932707744,14.8,7.277362159464101,0.3333333333333333,74.0
C1971,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C2091,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C12839,2,1,3,0.3333333333333333,0.00019072771988131885,0.0,0.0,0.0,0.0
C2697,5,5,10,0.5,0.0006383936289434439,84.0,77.26577508832743,0.4,336.0
C453,3,3,6,0.5,7.952463600989315e-05,182.5,182.5,0.6666666666666666,365.0
C5030,145,151,296,0.5101351351351351,0.029091009499088438,2.6066666666666665,3.5681865920318065,0.2185430463576159,391.0
C10293,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C13140,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C17743,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C19499,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C20342,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C21185,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C21376,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C22132,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C22414,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C23067,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C23099,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C23918,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C24056,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C25561,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C11545,0,2,2,1.0,0.0,2.0,0.0,0.5,2.0
C585,207,110,317,0.3470031545741325,0.020534318547770596,3.5045871559633026,5.380262694741047,0.34545454545454546,382.0
C11122,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C586,342,340,682,0.49853372434017595,0.07830027140956548,1.1533923303834808,1.2806980936734533,0.17352941176470588,391.0
C13730,9,9,18,0.5,0.0030518084440398366,39.75,74.18010177938555,0.4444444444444444,318.0
C529,156,156,312,0.5,0.02695331504867789,2.503225806451613,2.3455495086223492,0.1794871794871795,388.0
C3841,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C1581,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C368,2,1,3,0.3333333333333333,6.305048591117977e-08,0.0,0.0,0.0,0.0
C5720,735,286,1021,0.2801175318315377,0.14910834204248657,1.1017543859649124,4.205280357721964,0.6188811188811189,314.0
C1015,4,63,67,0.9402985074626866,0.006362566773823465,1.435483870967742,1.5410612989622472,0.2222222222222222,89.0
C375,3,2,5,0.4,0.0011679521258205117,135.0,0.0,0.5,135.0
C11727,0,3,3,1.0,0.0,51.5,8.5,0.3333333333333333,103.0
C22112,6,6,12,0.5,0.002101157442990067,10.4,9.43610088966836,0.5,52.0
C22751,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C9477,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C10,0,9,9,1.0,0.0,13.375,12.805638406577003,0.3333333333333333,107.0
C9079,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C1065,169,169,338,0.5,0.032834137660189854,2.2916666666666665,2.4552038191667087,0.15384615384615385,385.0
