source_node,path_score,path_nodes,path_edges,path_length
C15244,1.0,C15244 -> C15513,359583,1
C15244,0.9999992666714904,C15244 -> C11194,359598,1
C15244,0.9999985333429806,C15244 -> C5500,359597,1
C15244,0.999997800014471,C15244 -> C2146,359596,1
C15244,0.9999970666859613,C15244 -> C5987,359595,1
C15244,0.9999963333574517,C15244 -> C20107,359594,1
U9373@?,0.9999941333719228,U9373@? -> U9373@?,268765,1
C15244,0.999993400043413,C15244 -> C3174,359587,1
C15244,0.9999926667149034,C15244 -> C486,359586,1
C15244,0.9999919333863939,C15244 -> C4866,359585,1
C15244,0.9999912000578841,C15244 -> C8994,359584,1
C21897,0.9999340004341305,C21897 -> C754,359561,1
C2535,0.9998636008972029,C2535 -> C754,359651,1
C23252,0.9998401343848938,C23252 -> C2058,359680,1
C20695,0.9998034679594108,C20695 -> C1438,359353,1
C7954,0.9997440683501283,C7954 -> C1438,359356,1
C10611,0.9996854020693554,C10611 -> C1438,359371,1
ANONYMOUS LOGON@C1214,0.99950206994194,ANONYMOUS LOGON@C1214 -> ANONYMOUS LOGON@C1214,360235,1
C17532,0.9994573369028507,C17532 -> C754,268686,1
ANONYMOUS LOGON@C839,0.9994177371633289,ANONYMOUS LOGON@C839 -> ANONYMOUS LOGON@C839,359834,1
ANONYMOUS LOGON@C6253,0.9993847373803941,ANONYMOUS LOGON@C6253 -> ANONYMOUS LOGON@C6253,268680,1
ANONYMOUS LOGON@C18348,0.9993708041387106,ANONYMOUS LOGON@C18348 -> ANONYMOUS LOGON@C18348,360031,1
U293@DOM92,0.999363470853614,U293@DOM92 -> U293@DOM92,268657,1
ANONYMOUS LOGON@C1036,0.9992637381763,ANONYMOUS LOGON@C1036 -> ANONYMOUS LOGON@C1036,358433,1
C16284,0.9992600715337517,C16284 -> C1785,358426,1
C7402,0.9992197384657203,C7402 -> C1527,358619,1
U672@C972,0.9991874720112953,U672@C972 -> U672@C972,269159,1
U147@?,0.9991361390156189,U147@? -> U147@?,358234,1
C21612,0.9990657394786914,C21612 -> C754,358192,1
C22108,0.9990195397825827,C22108 -> C754,269233,1
C21298,0.9989616068303194,C21298 -> C1124,268992,1
C22122,0.9989205404337785,C22122 -> C754,269074,1
C11280,0.9989080738491142,C11280 -> C23249,358929,1
C22141,0.9988941406074309,C22141 -> C2106,269071,1
ANONYMOUS LOGON@C14527,0.9987364749778535,ANONYMOUS LOGON@C14527 -> ANONYMOUS LOGON@C14527,358672,1
C18500,0.9986235423873656,C18500 -> C9323,361757,1
C22026,0.998616209102269,C22026 -> C754,268081,1
ANONYMOUS LOGON@C12036,0.9985406762657739,ANONYMOUS LOGON@C12036 -> ANONYMOUS LOGON@C12036,361805,1
C18793,0.9985245430385614,C18793 -> C591,361902,1
ANONYMOUS LOGON@C3249,0.9985238097100516,ANONYMOUS LOGON@C3249 -> ANONYMOUS LOGON@C3249,361901,1
ANONYMOUS LOGON@C23259,0.998523076381542,ANONYMOUS LOGON@C23259 -> ANONYMOUS LOGON@C23259,361900,1
C1186,0.9985150097679357,C1186 -> C11290,361955,1
ANONYMOUS LOGON@C2461,0.9984717433858656,ANONYMOUS LOGON@C2461 -> ANONYMOUS LOGON@C2461,361865,1
C12994,0.9984680767433174,C12994 -> C651,361859,1
ANONYMOUS LOGON@C6144,0.9984130771050929,ANONYMOUS LOGON@C6144 -> ANONYMOUS LOGON@C6144,361444,1
ANONYMOUS LOGON@C14266,0.9983610107809069,ANONYMOUS LOGON@C14266 -> ANONYMOUS LOGON@C14266,361602,1
C17693,0.9982312116346966,C17693 -> C19402,267876,1
C20738,0.9982297449776775,C20738 -> C15001,267882,1
ANONYMOUS LOGON@C902,0.9982165450645035,ANONYMOUS LOGON@C902 -> ANONYMOUS LOGON@C902,267850,1
C17693,0.9982092117794069,C17693 -> C2597,267858,1
