source_node,path_score,path_nodes,path_edges,path_length
C12247,1.0,C12247 -> C1065,0,1
C15405,1.0,C15405 -> C586 -> C754 -> C7950 -> C1065,"143998,289169,224679,150558",4
C15405,1.0,C15405 -> C586 -> C754 -> C3468 -> C529,"143998,289169,298572,88472",4
C15405,1.0,C15405 -> C586 -> C754 -> C1003 -> C625,"143998,289169,298571,231516",4
C15405,1.0,C15405 -> C586 -> C754 -> C1003 -> C457,"143998,289169,298571,244506",4
C15405,1.0,C15405 -> C586 -> C754 -> C1003 -> C528,"143998,289169,298571,12682",4
C15405,1.0,C15405 -> C586 -> C754 -> C549 -> C504,"143998,289169,298565,404141",4
C15405,1.0,C15405 -> C586 -> C754 -> C549 -> C1003,"143998,289169,298565,404137",4
C15405,1.0,C15405 -> C586 -> C754 -> C549 -> C1056,"143998,289169,298565,404138",4
C15405,1.0,C15405 -> C586 -> C754 -> C549 -> C1173,"143998,289169,298565,404140",4
C15405,1.0,C15405 -> C586 -> C754 -> C2519 -> C15888,"143998,289169,403050,407977",4
C15405,1.0,C15405 -> C586 -> C754 -> C3468 -> C1056,"143998,289169,298572,367861",4
C15405,1.0,C15405 -> C586 -> C754 -> C2519 -> C46,"143998,289169,403050,216181",4
C15405,1.0,C15405 -> C586 -> C754 -> C2519 -> C504,"143998,289169,403050,209209",4
C15405,1.0,C15405 -> C586 -> C754 -> C2519 -> C3468,"143998,289169,403050,209208",4
C15405,1.0,C15405 -> C586 -> C754 -> C2519 -> C1003,"143998,289169,403050,209204",4
C15405,1.0,C15405 -> C586 -> C754 -> C2519 -> C549,"143998,289169,403050,209201",4
C15405,1.0,C15405 -> C586 -> C754 -> C2519 -> C1056,"143998,289169,403050,209199",4
C15405,1.0,C15405 -> C586 -> C754 -> C2519 -> C1173,"143998,289169,403050,209200",4
C15405,1.0,C15405 -> C586 -> C754 -> C1056 -> C504,"143998,289169,298567,399123",4
C15405,1.0,C15405 -> C586 -> C754 -> C3468 -> C1173,"143998,289169,298572,367857",4
C15405,1.0,C15405 -> C586 -> C754 -> C3468 -> C1003,"143998,289169,298572,367860",4
C15405,1.0,C15405 -> C586 -> C754 -> C1173 -> C504,"143998,289169,298564,334213",4
C15405,1.0,C15405 -> C586 -> C2918 -> C754 -> C14722,"143998,277153,293095,141898",4
C15405,1.0,C15405 -> C10 -> C528 -> C754 -> C1003,"364675,182059,283095,298571",4
C15405,1.0,C15405 -> C10 -> C528 -> C754 -> C549,"364675,182059,283095,298565",4
C15405,1.0,C15405 -> C10 -> C528 -> C754 -> C7950,"364675,182059,283095,224679",4
C15405,1.0,C15405 -> C10 -> C528 -> C754 -> C2519,"364675,182059,283095,403050",4
C15405,1.0,C15405 -> C10 -> C528 -> C754 -> C1056,"364675,182059,283095,298567",4
C15405,1.0,C15405 -> C10 -> C528 -> C754 -> C1173,"364675,182059,283095,298564",4
C15405,1.0,C15405 -> C586 -> C1628 -> C46 -> C754,"143998,277149,34330,289974",4
C15405,1.0,C15405 -> C586 -> C2918 -> C754 -> C1428,"143998,277153,293095,141320",4
C15405,1.0,C15405 -> C586 -> C2918 -> C754 -> C504,"143998,277153,293095,298569",4
C15405,1.0,C15405 -> C586 -> C754 -> C3468 -> C1759,"143998,289169,298572,367858",4
C15405,1.0,C15405 -> C586 -> C2918 -> C754 -> C3468,"143998,277153,293095,298572",4
C15405,1.0,C15405 -> C586 -> C2918 -> C754 -> C1003,"143998,277153,293095,298571",4
C15405,1.0,C15405 -> C586 -> C2918 -> C754 -> C549,"143998,277153,293095,298565",4
C15405,1.0,C15405 -> C586 -> C2918 -> C754 -> C7950,"143998,277153,293095,224679",4
C15405,1.0,C15405 -> C586 -> C2918 -> C754 -> C2519,"143998,277153,293095,403050",4
C15405,1.0,C15405 -> C586 -> C2918 -> C754 -> C1056,"143998,277153,293095,298567",4
C15405,1.0,C15405 -> C586 -> C2918 -> C754 -> C1173,"143998,277153,293095,298564",4
C15405,1.0,C15405 -> C586 -> C754 -> C3468 -> C504,"143998,289169,298572,367862",4
C15405,1.0,C15405 -> C586 -> C754 -> C1056 -> C1003,"143998,289169,298567,399125",4
C15405,1.0,C15405 -> C586 -> C754 -> C1173 -> C3468,"143998,289169,298564,334220",4
C15405,1.0,C15405 -> C10 -> C457 -> C754,"364675,279677,293204",3
C15405,1.0,C15405 -> C529 -> C754 -> C2519 -> C1003,"173307,294153,403050,209204",4
C15405,1.0,C15405 -> C529 -> C754 -> C549 -> C1056,"173307,294153,298565,404138",4
C15405,1.0,C15405 -> C529 -> C754 -> C549 -> C1173,"173307,294153,298565,404140",4
C15405,1.0,C15405 -> C529 -> C754 -> C7950 -> C586,"173307,294153,224679,3213",4
C15405,1.0,C15405 -> C529 -> C754 -> C7950 -> C1065,"173307,294153,224679,150558",4
