source_node,path_score,path_nodes,path_edges,path_length
C12100,1.0,C12100 -> C3065,6629,1
C16555,0.9976237637622224,C16555 -> C467,7008,1
C16087,0.9939019268861156,C16087 -> C612,39136,1
C14848,0.9872911606811644,C14848 -> C529,1683,1
C16841,0.9856944629146164,C16841 -> C586,51680,1
C16224,0.9846078335304781,C16224 -> C585,51786,1
C18043,0.9845194683390143,C18043 -> C625,51553,1
C12515,0.9836900604032953,C12515 -> C2651,39105,1
C9330,0.9827119189769936,C9330 -> C585,42088,1
C13424,0.979652383585422,C13424 -> C585,50344,1
C2849,0.9757503167148447,C2849 -> C5721,41307,1
C11665,0.9750101488734749,C11665 -> C1821,45852,1
C17459,0.973982137982684,C17459 -> C612,7570,1
C2557,0.9723390703631898,C2557 -> C743,48923,1
C16983,0.9720022327521645,C16983 -> C585,44337,1
C9091,0.9716513966949668,C9091 -> C743,44752,1
C5783,0.9689024518278474,C5783 -> C585,48297,1
C18005,0.9685463663533347,C18005 -> C743,46598,1
C17368,0.9682244020913678,C17368 -> C585,48052,1
C2849,0.9681797820441931,C2849 -> C585,48019,1
C17979,0.9666871977210528,C17979 -> C9883,46776,1
C1040,0.9658402917276182,C1040 -> C5720,44768,1
C1387,0.9642208464860401,C1387 -> C743,19733,1
C614,0.9625742792550027,C614 -> C585,51613,1
C1064,0.9623660523681871,C1064 -> C585,45836,1
C26347,0.9597168464300462,C26347 -> C5463,42180,1
C15905,0.9592234012024665,C15905 -> C5789,50278,1
C7934,0.9575173405751961,C7934 -> C5721,48145,1
C5783,0.9570930126755931,C5783 -> C5721,41866,1
C17368,0.956342345999594,C17368 -> C5721,48051,1
C14683,0.9549879963324072,C14683 -> C743,47044,1
C6973,0.9544149349422216,C6973 -> C457,49407,1
C9549,0.9540536000503944,C9549 -> C5721,46460,1
C18005,0.9533851742456588,C18005 -> C529,46211,1
C16358,0.9492503832074638,C16358 -> C743,43747,1
C614,0.9485102153660944,C614 -> C5721,41499,1
C12718,0.9467481609541343,C12718 -> C585,42293,1
C9751,0.9454673031293527,C9751 -> C585,6528,1
C13243,0.9447735051409293,C13243 -> C5696,51684,1
C8673,0.9446396449994051,C8673 -> C743,13772,1
C9698,0.9445162836925102,C9698 -> C585,51112,1
C14233,0.9436755020192759,C14233 -> C743,41263,1
C8522,0.9435565152268098,C8522 -> C585,7298,1
C10572,0.9416247296550081,C10572 -> C743,45272,1
C1364,0.9415836092193764,C1364 -> C585,50112,1
C11290,0.9413482603431019,C11290 -> C585,50107,1
C9687,0.937774282054692,C9687 -> C586,50576,1
C16277,0.9362117055006894,C16277 -> C529,1284,1
C1906,0.9357558810971982,C1906 -> C1973,42198,1
C7416,0.934398031818468,C7416 -> C1065,17968,1
