edge_index,edge_rarity,src_out_degree,dst_in_degree,dst_fan_out_ratio,is_ntlm,is_network_logon,is_success_auth,source_fan_out,weight_norm,is_self_loop,is_user_edge,is_unusual_dst_port,protocol_rarity,byte_per_packet,duration_zscore,temporal_decay_weight
0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,0.5,1.0,1.0,0.5,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0
5,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
6,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0
7,1.0,1.0,2.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
9,1.0,1.0,2.0,0.3333333333333333,0.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0
12,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0
13,1.0,1.0,2.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,0.5,1.0,1.0,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
15,1.0,1.0,2.0,0.3333333333333333,0.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
