src,dst,type,auth_type,logon_type,auth_orientation,success,time,weight,first_time,last_time,protocol,src_port,dst_port,pkt_count,byte_count,duration
C12247,C1065,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
ANONYMOUS LOGON@C1065,ANONYMOUS LOGON@C1065,auth,NTLM,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
C4429,C1065,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C528,C528,auth,?,Network,LogOff,Success,147285.0,2,147285.0,147285.0,,,,,,
ANONYMOUS LOGON@C528,ANONYMOUS LOGON@C528,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C529,C529,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
ANONYMOUS LOGON@C529,ANONYMOUS LOGON@C529,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C13455,C586,auth,NTLM,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
ANONYMOUS LOGON@C586,ANONYMOUS LOGON@C586,auth,NTLM,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
C586,C586,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C2106,C2106,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C10045$@DOM1,C10045$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C1020$@DOM1,C1020$@DOM1,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C1025,C561,auth,Kerberos,Network,LogOn,Success,147285.0,1,147285.0,,,,,,,
C1025$@DOM1,C1025$@DOM1,auth,Kerberos,Network,LogOn,Success,147285.0,2,147285.0,147285.0,,,,,,
C561,C561,auth,?,Network,LogOff,Success,147285.0,1,147285.0,,,,,,,
C10614,C16712,flow,,,,,147285.0,1,147285.0,,1.0,N10,N10,1.0,60.0,0.0
C11227,C25856,flow,,,,,147285.0,1,147285.0,,6.0,N1415,22.0,1.0,46.0,0.0
C11667,C743,flow,,,,,147285.0,1,147285.0,,6.0,N3529,139.0,1.0,46.0,0.0
C1226,C16712,flow,,,,,147285.0,1,147285.0,,1.0,N10,N10,1.0,60.0,0.0
C12267,C16712,flow,,,,,147285.0,1,147285.0,,1.0,N10,N10,1.0,60.0,0.0
C12632,C467,flow,,,,,147285.0,1,147285.0,,17.0,123.0,123.0,1.0,96.0,0.0
C12941,C5721,flow,,,,,147285.0,1,147285.0,,6.0,N956,445.0,2.0,178.0,0.0
C13470,C16712,flow,,,,,147285.0,1,147285.0,,1.0,N10,N10,1.0,60.0,0.0
C13490,C16712,flow,,,,,147285.0,1,147285.0,,6.0,22.0,N39398,1.0,46.0,0.0
C14394,C16712,flow,,,,,147285.0,1,147285.0,,1.0,N10,N10,1.0,60.0,0.0
