source_node,path_score,path_nodes,path_edges,path_length
C14394,1.4000000000000001,C14394 -> C16712,25,1
C13490,1.4000000000000001,C13490 -> C16712,24,1
C13470,1.4000000000000001,C13470 -> C16712,23,1
C12267,1.4000000000000001,C12267 -> C16712,20,1
C1226,1.4000000000000001,C1226 -> C16712,19,1
C10614,1.4000000000000001,C10614 -> C16712,16,1
C13455,1.0666666666666667,C13455 -> C586,7,1
C12247,1.0,C12247 -> C1065,0,1
C4429,1.0,C4429 -> C1065,2,1
C1025,0.8666666666666667,C1025 -> C561,13,1
C11667,0.4000000000000001,C11667 -> C743,18,1
C12941,0.4000000000000001,C12941 -> C5721,22,1
C12632,0.4000000000000001,C12632 -> C467,21,1
C11227,0.4000000000000001,C11227 -> C25856,17,1
C561,3.333333333333332e-11,C561 -> C561,15,1
C1025$@DOM1,3.333333333333332e-11,C1025$@DOM1 -> C1025$@DOM1,14,1
ANONYMOUS LOGON@C529,3.333333333333332e-11,ANONYMOUS LOGON@C529 -> ANONYMOUS LOGON@C529,6,1
ANONYMOUS LOGON@C586,3.333333333333332e-11,ANONYMOUS LOGON@C586 -> ANONYMOUS LOGON@C586,8,1
ANONYMOUS LOGON@C1065,3.333333333333332e-11,ANONYMOUS LOGON@C1065 -> ANONYMOUS LOGON@C1065,1,1
C529,3.333333333333332e-11,C529 -> C529,5,1
ANONYMOUS LOGON@C528,3.333333333333332e-11,ANONYMOUS LOGON@C528 -> ANONYMOUS LOGON@C528,4,1
C1020$@DOM1,3.333333333333332e-11,C1020$@DOM1 -> C1020$@DOM1,12,1
C10045$@DOM1,3.333333333333332e-11,C10045$@DOM1 -> C10045$@DOM1,11,1
C528,3.333333333333332e-11,C528 -> C528,3,1
C2106,3.333333333333332e-11,C2106 -> C2106,10,1
C586,3.333333333333332e-11,C586 -> C586,9,1
