node,in_degree,out_degree,total_degree,fan_out_ratio,betweenness_centrality,inter_arrival_mean,inter_arrival_std,burst_score,active_duration
C10614,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C16712,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0
C11227,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C25856,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C11667,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C743,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C1226,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C12267,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C12632,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C467,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C12941,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C5721,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
C13470,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C13490,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
C14394,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
