2026-05-16 02:08:34,676 [INFO] __main__: Loading LANL data from data/LANL-Dataset-2015 (window=3600s)
2026-05-16 02:08:35,128 [INFO] src.pipeline: Run ID: 20260516_090835, output dir: results/20260516_090835
2026-05-16 02:08:35,129 [INFO] src.io:   Saved pipeline_config.json to results/20260516_090835
2026-05-16 02:08:35,130 [INFO] src.stages: Red team: 749 events, 25 merged windows
2026-05-16 02:08:35,144 [INFO] src.io:   Saved redteam data to results/20260516_090835/redteam
2026-05-16 02:08:35,144 [INFO] src.stages: Streaming + building: combined
2026-05-16 02:08:43,141 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 500,000 events processed...
2026-05-16 02:08:44,468 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 1,000,000 events processed...
2026-05-16 02:08:45,803 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 1,500,000 events processed...
2026-05-16 02:08:47,126 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 2,000,000 events processed...
2026-05-16 02:08:51,051 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 2,500,000 events processed...
2026-05-16 02:08:52,348 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 3,000,000 events processed...
2026-05-16 02:08:53,637 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 3,500,000 events processed...
2026-05-16 02:08:54,996 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 4,000,000 events processed...
2026-05-16 02:08:56,256 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 4,500,000 events processed...
2026-05-16 02:08:57,541 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 5,000,000 events processed...
2026-05-16 02:08:58,820 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 5,500,000 events processed...
2026-05-16 02:09:00,224 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 6,000,000 events processed...
2026-05-16 02:09:01,537 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 6,500,000 events processed...
2026-05-16 02:09:02,817 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 7,000,000 events processed...
2026-05-16 02:09:04,096 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 7,500,000 events processed...
2026-05-16 02:09:05,390 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 8,000,000 events processed...
2026-05-16 02:09:17,529 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 8,500,000 events processed...
2026-05-16 02:09:18,840 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 9,000,000 events processed...
2026-05-16 02:09:20,154 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 9,500,000 events processed...
2026-05-16 02:09:21,473 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 10,000,000 events processed...
2026-05-16 02:09:22,762 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 10,500,000 events processed...
2026-05-16 02:09:24,067 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 11,000,000 events processed...
2026-05-16 02:09:25,458 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 11,500,000 events processed...
2026-05-16 02:09:26,785 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 12,000,000 events processed...
2026-05-16 02:09:28,134 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 12,500,000 events processed...
2026-05-16 02:09:29,414 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 13,000,000 events processed...
2026-05-16 02:09:30,816 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 13,500,000 events processed...
2026-05-16 02:09:32,441 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 14,000,000 events processed...
2026-05-16 02:09:33,757 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 14,500,000 events processed...
2026-05-16 02:09:35,047 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 15,000,000 events processed...
2026-05-16 02:09:36,315 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 15,500,000 events processed...
2026-05-16 02:09:37,668 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 16,000,000 events processed...
2026-05-16 02:09:38,928 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 16,500,000 events processed...
2026-05-16 02:09:40,193 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 17,000,000 events processed...
2026-05-16 02:09:41,447 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 17,500,000 events processed...
2026-05-16 02:09:48,193 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 18,000,000 events processed...
