src,dst
C3522,C1759
C9847,C467
C9438,C754
C12939,C754
C5808,C15045
C20250,C467
C22490,C586
C3127,C754
C863,C754
C12523,C3443
C3151,C467
C12281,C2106
C14928,C467
C13403,C586
C14032,C625
C5808,C18411
C6085,C1015
C17693,C8906
C990,C754
C11120,C457
C7172,C1015
C1590,C586
C165,C529
C17866,C467
C20795,C612
C20950,C754
C18142,C754
C19879,C457
C23542,C529
C13354,C612
C5527,C467
C9824,C1065
C3863,C529
C14792,C612
C5802,C7485
C6041,C2106
C19320,C529
C6003,C586
C15380,C625
C22127,C754
C5802,C22574
C8827,C586
C5787,C330
C17050,C467
C18273,C754
C4548,C1065
C17504,C586
C2580,C529
C10992,C2106
C11231,C612
C1476,C3468
C22738,C754
C5478,C754
C13910,C528
C9289,C586
C2189,C20811
C5802,C18804
C19166,C754
C5782,C15268
C3698,C457
C2576,C586
C10944,C1065
C22880,C92
C14992,C625
C224,C457
C24165,C586
C3866,C467
C5808,C11944
C2660,C529
C21212,C1065
C14336,C457
C9082,C754
C24615,C13855
C1006,C467
C19580,C2106
C12145,C549
C9982,C2106
C2230,C754
C17596,C1003
C16775,C46
C22524,C754
C7999,C529
C4761,C457
C18982,C2106
C17788,C1065
C19183,C528
C9034,C528
C7474,C529
C10994,C457
C5216,C754
C12369,C529
C653,C1065
C7210,C528
C5802,C6485
C13268,C586
C7944,C1065
C9970,C754
C12843,C10
C18593,C1065
C15166,C625
C914,C625
C8207,C754
C20353,C467
C6279,C549
C18821,C8509
C1360,C467
C17963,C467
C21596,C1065
C773,C625
C20884,C457
C8597,C1015
C19139,C528
C1069,C423
C5174,C528
C20393,C2519
C11027,C457
C5802,C17869
C3598,C2106
C3235,C1065
C7753,C529
C10927,C423
C947,C46
C8147,C457
C21127,C467
C15953,C2721
C6225,C2106
C6339,C308
C21171,C754
C5327,C467
C2207,C1065
C8778,C423
C16050,C457
C22759,C586
C422,C529
C13799,C754
C163,C1056
C22769,C754
C22573,C528
C570,C754
C5802,C9655
C2480,C11360
C5787,C24610
C6841,C1973
C25347,C586
C22828,C754
C262,C529
C10577,C528
C5787,C8996
C4358,C625
C8887,C1065
C11881,C2106
C19746,C754
C5802,C20896
C5808,C22954
C7507,C528
C12502,C529
C6499,C612
C2143,C2106
C3340,C457
C22179,C612
C16590,C467
C9268,C467
C12300,C467
C1492,C457
C19384,C467
C13469,C528
C10305,C1065
C17788,C457
C18039,C467
C21801,C528
C7077,C754
C2766,C754
C14147,C317
C17087,C528
C7024,C457
C11159,C1065
C11096,C754
C15722,C1065
C9829,C1487
C22665,C754
C17162,C457
C359,C754
C6544,C625
C5808,C4474
C11167,C1929
C19361,C457
C9864,C754
C1211,C1056
C4189,C467
C6234,C612
C20338,C467
C17268,C449
C5787,C18524
C5909,C586
C12693,C529
C17981,C457
C3235,C457
C584,C1065
C1315,C467
C3598,C612
C19440,C612
C7918,C612
C5808,C10252
C12038,C612
C8329,C754
C8843,C754
C8707,C12687
C6802,C612
C9714,C467
C17843,C1065
C18244,C467
C15570,C1065
C26151,C2519
C18365,C754
C13311,C586
C14977,C586
C4091,C1065
C24678,C2106
C5802,C6379
C11721,C529
C7754,C11198
C22350,C625
C18727,C2106
C8840,C754
C5808,C7394
C18854,C754
C10003,C529
C2143,C612
C174,C754
C17772,C612
C5808,C8082
C3921,C467
C16226,C457
C13496,C467
C19131,C1065
C20218,C612
C7237,C529
C10049,C1065
C1424,C467
C12360,C2106
C15131,C528
C7792,C3455
C8641,C1065
C26368,C2519
C5802,C17306
C3343,C1056
C18831,C529
C5808,C7272
C15944,C2106
C12604,C3455
C1014,C3287
C3318,C528
C5802,C6649
C13475,C1065
C15226,C754
C15646,C625
C1179,C1336
C24759,C1884
C17965,C1065
C18323,C2106
C11006,C1770
C5802,C17759
C17693,C853
C14578,C449
C9822,C529
C4816,C529
C204,C586
C4693,C457
C23158,C754
C4858,C1065
C16686,C467
C19276,C457
C17693,C1183
C1477,C583
C2162,C18540
C8619,C457
C21723,C754
C9186,C529
C1220,C1173
C4029,C467
C1322,C754
C3878,C467
C3141,C586
