src,dst
C15244,C5192
C17009,C3832
C15244,C18420
C17679,C5782
C1618,C5794
C15244,C13642
C1743,C20851
C15244,C214
C5782,C21139
C17887,C5136
C15244,C13806
C1795,C11658
C15244,C1311
C5782,C12257
C15244,C2292
C3455,C19580
C5948,C3173
C5782,C19308
C5782,C22258
C5782,C22902
C1743,C924
C15244,C12554
C15244,C19671
C23653,C17693
C17693,C23679
C22729,C17693
C13218,C5136
C5136,C21311
C15244,C6580
C5588,C17279
C15244,C366
C15244,C22977
C23133,C2150
C15244,C9570
C5782,C21601
C1618,C19945
C21311,C5136
C15244,C15493
C5782,C12038
C1618,C14809
C15244,C12476
C1795,C13583
C15244,C12107
C1618,C19730
C15244,C4712
C5782,C14066
C5782,C22483
C5136,C17926
C5782,C11996
C5782,C8443
C528,C18071
C5640,C8784
C15244,C10390
C5782,C5787
C5782,C14619
C5782,C22729
C15244,C16796
C1795,C12393
C15244,C3833
C15244,C22032
C15244,C19924
C3422,C5756
C15244,C12613
C1795,C13631
C5782,C15187
C15244,C5261
C1743,C214
C5782,C23911
C5640,C12337
C15244,C6427
C15244,C4738
C5782,C16969
C15244,C26737
C1743,C1311
C15244,C22061
C15244,C7542
C1743,C2292
C17926,C5588
C5588,C5909
C15244,C792
C1795,C23016
C15244,C20327
C15244,C20175
C5909,C5136
C15244,C18874
C15244,C16541
C11827,C5136
C17279,C5588
C10,C7542
C20345,C17693
C3349,C14278
C1618,C4232
C5782,C11336
C8272,C22255
C13218,C4222
C1743,C12476
C5782,C22908
C5782,C22907
C3451,C17693
C3612,C23134
C5588,C17823
C21311,C2150
C15244,C10208
C16712,C12158
C17823,C3173
C1618,C15187
C1618,C15767
C15244,C11051
C5136,C18715
C5782,C17083
C5785,C5136
C21628,C5640
C5782,C17679
C5782,C26521
C15244,C1219
C15244,C9219
C8784,C5136
C15244,C20510
C15244,C20979
C5782,C15843
C15244,C25818
C5879,C4227
C15244,C23778
C3173,C5948
C15244,C22069
C22529,C12943
C1795,C768
C5588,C19711
C1618,C15207
C5782,C17611
C15244,C9780
C16072,C26485
C15244,C13444
C17693,C4513
C5782,C12745
C5782,C23815
C8589,C26405
C1743,C7542
C15244,C14368
C5782,C26428
C15244,C16111
C17837,C5588
C1743,C20175
C4407,C18731
C18715,C5136
C3455,C8021
C1618,C3235
C26485,C16072
C14114,C23134
C15244,C24035
C15244,C16144
C15244,C10525
C12504,C16796
C5785,C17693
C15244,C5866
C4222,C6415
C15244,C11294
C15244,C16301
C5782,C18002
C15244,C10505
C15244,C15045
C21311,C5588
C5588,C18250
C2150,C16079
C1795,C15767
C5782,C13311
C528,C21233
C15244,C20871
C20718,C2150
C1618,C14903
C15244,C14165
C12943,C22529
C10,C6131
C23925,C23778
C5932,C5901
C5879,C23357
C15244,C15210
C2150,C18420
C22529,C5404
C16507,C17693
C15244,C20475
C5782,C22432
C17693,C13717
C3832,C20744
C15244,C10501
C15244,C15877
C17693,C5785
C1795,C2533
C2150,C14222
C5782,C14529
C1795,C15802
C15244,C24106
C1618,C9860
C1477,C1770
C1544,C18731
C15244,C7254
C5782,C13629
C15244,C2303
C1618,C843
C5782,C3714
C22529,C18312
C15244,C2857
C15244,C6415
C15244,C1133
C15244,C24947
C5136,C8768
C5909,C5588
C906,C13023
C15244,C7386
C5782,C11768
C5136,C8951
C15244,C18621
C1743,C11294
C2982,C1770
C1795,C15843
C5136,C20084
C15244,C10984
C17693,C15753
C1795,C14903
C2150,C17157
C5640,C21628
C15158,C22529
C17693,C23653
C15244,C19684
C15244,C17969
C15244,C9204
C2150,C18091
C15244,C16245
C1795,C6163
C17693,C3451
C4222,C12568
C5782,C22027
C15244,C326
C16712,C14196
C15244,C1261
C15244,C21798
C2150,C11917
C15244,C5181
C2150,C20718
C17693,C22275
C17744,C2150
C15244,C20041
C15244,C8498
C17693,C5782
C15244,C3983
C15244,C4509
C5136,C5785
C17693,C16507
C15244,C13204
C906,C18281
C17859,C2038
C13218,C22529
C15158,C3173
C5136,C5909
C14947,C26737
C15244,C19711
C5900,C22112
C15244,C20754
C4222,C20722
C17157,C2150
C15244,C5178
C8589,C14136
C5782,C24453
C15244,C1305
C16712,C11490
C5640,C18312
C20309,C23134
C23357,C5879
C16712,C14301
C15244,C22194
C15244,C18965
C17693,C14510
C15244,C17490
C15244,C19732
C15244,C10874
C5588,C20358
C15244,C12159
C15244,C3785
C24854,C1654
C15244,C12568
C15244,C3826
C5913,C2503
C2038,C17859
C15244,C2629
C15244,C9582
C1743,C9204
C15244,C24510
C5787,C5782
C1086,C1423
C5136,C17887
C3455,C6707
C5782,C23949
C5782,C13026
C1743,C326
C15244,C8723
C17693,C15180
C5136,C8498
C15244,C9803
C1618,C11827
C5782,C21661
C5900,C23728
C4222,C15839
C1477,C2225
C5588,C25938
C5136,C17736
C17465,C17693
C15839,C4222
C15244,C17778
C5763,C2150
C18091,C2150
C5782,C12414
C17693,C17465
C22154,C26737
C15244,C15159
C5782,C22901
C3173,C18715
C10,C8670
C4222,C13218
C1529,C15746
C1743,C19711
C5782,C1423
C5782,C13124
C16072,C18384
C15244,C17344
C15244,C11547
C15244,C10210
C15244,C10699
C5782,C11346
C15244,C2702
C15244,C904
C3688,C3167
C1743,C1305
C15244,C936
C2982,C2225
C15244,C19098
C5782,C22710
C15244,C1112
C13717,C17693
C5136,C11827
C15244,C16754
C15244,C16260
C14222,C2150
C15244,C12316
C2614,C17186
C5782,C12707
C15244,C16451
C15244,C9132
C15244,C22112
C14510,C17693
C15244,C17186
C13998,C2150
C15244,C20470
C5640,C5902
C15244,C16609
C5782,C23205
C1618,C15129
C17693,C20731
C15244,C20512
C15244,C3570
C17736,C5474
C482,C1543
C13574,C2150
C17693,C2848
C15244,C7137
C18251,C2150
C5828,C5136
C15244,C24376
C1743,C8723
C15244,C20250
C4222,C9860
C16079,C2150
C18281,C906
C3832,C17009
C20358,C5588
C1795,C13519
C15244,C13218
C15244,C2848
C3173,C15158
C17693,C24447
C15244,C24020
C15244,C13602
C1618,C5913
C1506,C17693
C1618,C13960
C15244,C12578
C17731,C23357
C22529,C15158
C15180,C17693
C1743,C10210
C21527,C17693
C248,C2150
C1743,C904
C15244,C2347
C5782,C16694
C15244,C342
C5782,C23092
C15244,C19366
