src,dst,type,protocol,src_port,dst_port,pkt_count,byte_count,duration,time,weight,first_time,last_time
C10614,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,26,147285.0,579428.0
C11227,C25856,flow,6.0,N1415,22.0,1.0,46.0,0.0,147285.0,564,147285.0,1065228.0
C11667,C743,flow,6.0,N3529,139.0,1.0,46.0,0.0,147285.0,83,147285.0,492814.0
C1226,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C12267,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C12632,C467,flow,17.0,123.0,123.0,1.0,96.0,0.0,147285.0,76,147285.0,228819.0
C12941,C5721,flow,6.0,N956,445.0,2.0,178.0,0.0,147285.0,426,147285.0,1258810.0
C13470,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,26,147285.0,579428.0
C13490,C16712,flow,6.0,22.0,N39398,1.0,46.0,0.0,147285.0,24,147285.0,579428.0
C14394,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C14702,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C14967,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,10,147285.0,579428.0
C15459,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C15549,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16029,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C13283,flow,6.0,N39398,22.0,1.0,76.0,0.0,147285.0,84,147285.0,579428.0
C16712,C13490,flow,6.0,N39398,22.0,1.0,76.0,0.0,147285.0,25,147285.0,579428.0
C16712,C13570,flow,6.0,N39398,22.0,1.0,76.0,0.0,147285.0,80,147285.0,579428.0
C16712,C20261,flow,6.0,N39398,22.0,1.0,76.0,0.0,147285.0,81,147285.0,579428.0
C16712,C20893,flow,6.0,N39398,22.0,1.0,76.0,0.0,147285.0,112,147285.0,579428.0
C16712,C21112,flow,6.0,N39398,22.0,1.0,76.0,0.0,147285.0,120,147285.0,579431.0
C16712,C24911,flow,6.0,N39398,22.0,1.0,76.0,0.0,147285.0,120,147285.0,579431.0
C16712,C10614,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,26,147285.0,579428.0
C16712,C1226,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C12267,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C13470,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,26,147285.0,579428.0
C16712,C14394,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C14702,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C14967,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,80,147285.0,579428.0
C16712,C15459,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C15549,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C16029,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C16756,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,53,147285.0,579431.0
C16712,C1700,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C1843,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C185,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C1857,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C2128,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C24336,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,27,147285.0,579428.0
C16712,C24474,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,26,147285.0,579428.0
C16712,C2881,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C2882,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C3100,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C4814,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C8026,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16712,C8492,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,42,147285.0,579428.0
C16712,C962,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C16756,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,18,147285.0,471203.0
C1685,C20473,flow,6.0,N105,N24889,5.0,2691.0,0.0,147285.0,1547,147285.0,1258419.0
C1685,C9156,flow,6.0,N105,N19644,4.0,445.0,0.0,147285.0,1561,147285.0,1258439.0
C1700,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C1707,C6211,flow,6.0,N105,N2681,4.0,413.0,0.0,147285.0,199,147285.0,1153728.0
C1707,C8677,flow,6.0,N105,N17940,4.0,409.0,0.0,147285.0,34,147285.0,637757.0
C17693,C5074,flow,6.0,443.0,N9713,6.0,563.0,0.0,147285.0,143342,147285.0,481789.0
C1823,C1971,flow,1.0,N78,N10,1.0,60.0,0.0,147285.0,4537,147285.0,1258933.0
C1843,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C185,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C1857,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C1971,C1823,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,4537,147285.0,1258933.0
C20473,C1685,flow,6.0,N24889,N105,7.0,1262.0,0.0,147285.0,1547,147285.0,1258419.0
C2091,C12839,flow,6.0,80.0,N14632,1.0,46.0,0.0,147285.0,1,147285.0,
C2128,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C24336,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,27,147285.0,579428.0
C24474,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,26,147285.0,579428.0
C2697,C743,flow,6.0,N10783,445.0,1.0,46.0,0.0,147285.0,257,147285.0,579837.0
C2881,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C2882,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C3100,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C453,C5030,flow,6.0,N2149,443.0,2.0,92.0,0.0,147285.0,150,147285.0,1933221.0
C467,C12632,flow,17.0,123.0,123.0,1.0,96.0,0.0,147285.0,76,147285.0,228819.0
C4814,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C5030,C453,flow,6.0,443.0,N2149,1.0,46.0,0.0,147285.0,212,147285.0,1933354.0
C6211,C1707,flow,6.0,N2681,N105,5.0,856.0,0.0,147285.0,198,147285.0,1153728.0
C743,C11667,flow,6.0,139.0,N3529,1.0,46.0,0.0,147285.0,91,147285.0,492877.0
C743,C2697,flow,6.0,445.0,N10783,1.0,46.0,0.0,147285.0,280,147285.0,579837.0
C8026,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C8492,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,22,147285.0,579428.0
C8677,C1707,flow,6.0,N17940,N105,5.0,852.0,0.0,147285.0,34,147285.0,637757.0
C9156,C1685,flow,6.0,N19644,N105,6.0,932.0,0.0,147285.0,1561,147285.0,1258439.0
C962,C16712,flow,1.0,N10,N10,1.0,60.0,0.0,147285.0,24,147285.0,579428.0
C10293,C16712,flow,1.0,N10,N10,2.0,120.0,1.0,147285.0,24,147285.0,579428.0
C16712,C10293,flow,1.0,N78,N10,2.0,120.0,1.0,147285.0,24,147285.0,579428.0
C16712,C13140,flow,1.0,N78,N10,2.0,120.0,1.0,147285.0,64,147285.0,579428.0
C16712,C17743,flow,1.0,N78,N10,2.0,120.0,1.0,147285.0,100,147285.0,579429.0
C16712,C19499,flow,1.0,N78,N10,2.0,120.0,1.0,147285.0,84,147285.0,579428.0
C16712,C20342,flow,1.0,N78,N10,2.0,120.0,1.0,147285.0,88,147285.0,579428.0
C16712,C21185,flow,1.0,N78,N10,2.0,120.0,1.0,147285.0,120,147285.0,579431.0
C16712,C21376,flow,1.0,N78,N10,2.0,120.0,1.0,147285.0,84,147285.0,579431.0
C16712,C22132,flow,1.0,N78,N10,2.0,120.0,1.0,147285.0,84,147285.0,579428.0
C16712,C22414,flow,1.0,N78,N10,2.0,120.0,1.0,147285.0,120,147285.0,579431.0
C16712,C23067,flow,1.0,N78,N10,2.0,120.0,1.0,147285.0,120,147285.0,579431.0
C16712,C23099,flow,1.0,N78,N10,2.0,120.0,1.0,147285.0,120,147285.0,579430.0
C16712,C23918,flow,1.0,N78,N10,2.0,120.0,1.0,147285.0,104,147285.0,579431.0
C16712,C24056,flow,1.0,N78,N10,2.0,120.0,1.0,147285.0,120,147285.0,579431.0
C16712,C25561,flow,1.0,N78,N10,2.0,120.0,1.0,147285.0,112,147285.0,579428.0
C11545,C585,flow,6.0,N1625,445.0,14.0,3585.0,12.0,147285.0,1009,147285.0,1258828.0
C11122,C586,flow,6.0,N10943,445.0,13.0,4217.0,13.0,147285.0,49,147285.0,580121.0
C586,C11122,flow,6.0,445.0,N10943,9.0,1653.0,13.0,147285.0,49,147285.0,580121.0
C13730,C529,flow,6.0,N34135,445.0,14.0,5635.0,14.0,147285.0,134,147285.0,580057.0
C529,C13730,flow,6.0,445.0,N34135,10.0,1701.0,14.0,147285.0,134,147285.0,580057.0
C1685,C3841,flow,6.0,N105,N9521,30449.0,45625996.0,18.0,147285.0,561,147285.0,1236933.0
C3841,C1685,flow,6.0,N9521,N105,16432.0,756023.0,18.0,147285.0,559,147285.0,1236933.0
C1581,C368,flow,6.0,1433.0,N25628,4.0,190.0,20.0,147285.0,8648,147285.0,1104900.0
C368,C1581,flow,6.0,N25628,1433.0,4.0,190.0,20.0,147285.0,8645,147285.0,1104900.0
C13730,C5720,flow,6.0,N6818,445.0,472.0,117221.0,32.0,147285.0,2914,147285.0,1258881.0
C5720,C13730,flow,6.0,445.0,N6818,468.0,215759.0,32.0,147285.0,2917,147285.0,1258881.0
C1015,C375,flow,6.0,N20,N3813,2.0,92.0,38.0,147285.0,8425,147285.0,1258891.0
C11727,C5721,flow,6.0,N6180,445.0,41.0,8960.0,60.0,147285.0,1902,147285.0,1258839.0
C22112,C22751,flow,17.0,N29,N29,3.0,282.0,60.0,147285.0,1489,147285.0,1240153.0
C5721,C9477,flow,6.0,445.0,N439,40.0,7704.0,60.0,147285.0,3895,147285.0,1258919.0
C9477,C5721,flow,6.0,N439,445.0,42.0,8814.0,60.0,147285.0,4027,147285.0,1258919.0
C10,C9079,flow,6.0,445.0,N2054,1.0,46.0,0.0,147286.0,1146,147286.0,1253501.0
C1065,C1508,flow,6.0,445.0,N1246,1.0,46.0,0.0,147286.0,242,147286.0,580339.0
C10833,C5030,flow,6.0,N34894,443.0,2.0,92.0,0.0,147286.0,44,147286.0,577822.0
C12133,C457,flow,6.0,N5254,445.0,1.0,52.0,0.0,147286.0,763,147286.0,588161.0
C13337,C1685,flow,6.0,N18885,N105,7.0,974.0,0.0,147286.0,1879,147286.0,1855537.0
C1508,C1065,flow,6.0,N1246,445.0,1.0,52.0,0.0,147286.0,226,147286.0,580267.0
C1685,C13337,flow,6.0,N105,N18885,4.0,445.0,0.0,147286.0,1883,147286.0,1855537.0
C1685,C1906,flow,6.0,N105,N4757,4.0,414.0,0.0,147286.0,252,147286.0,1184075.0
C17552,C586,flow,6.0,N17721,N676,8.0,2648.0,0.0,147286.0,1772,147286.0,1854831.0
C1906,C1685,flow,6.0,N4757,N105,5.0,857.0,0.0,147286.0,253,147286.0,1184075.0
C457,C12133,flow,6.0,445.0,N5254,1.0,46.0,0.0,147286.0,763,147286.0,588161.0
C467,C6001,flow,6.0,389.0,N23110,12.0,7505.0,0.0,147286.0,18,147286.0,578339.0
C4858,C706,flow,6.0,N950,80.0,1.0,46.0,0.0,147286.0,1201,147286.0,1935425.0
C5030,C10833,flow,6.0,443.0,N34894,1.0,46.0,0.0,147286.0,47,147286.0,577822.0
C528,C4067,flow,6.0,445.0,N5269,1.0,46.0,0.0,147286.0,659,147286.0,1258287.0
C545,C1294,flow,6.0,445.0,N5226,1.0,46.0,0.0,147286.0,2609,147286.0,2383268.0
C586,C8308,flow,17.0,389.0,N15335,1.0,193.0,0.0,147286.0,645,147286.0,588019.0
C586,C17552,flow,6.0,N676,N17721,6.0,1918.0,0.0,147286.0,2105,147286.0,1854831.0
C6001,C467,flow,6.0,N23110,389.0,12.0,3984.0,0.0,147286.0,18,147286.0,578339.0
C706,C1216,flow,6.0,80.0,N14207,6.0,4084.0,0.0,147286.0,202,147286.0,1255548.0
C706,C38,flow,6.0,80.0,N22963,4.0,515.0,0.0,147286.0,113,147286.0,1256961.0
C8308,C586,flow,17.0,N15335,389.0,1.0,194.0,0.0,147286.0,771,147286.0,588019.0
C1707,C5061,flow,6.0,N105,N5979,4.0,409.0,1.0,147286.0,328,147286.0,1258810.0
C5061,C1707,flow,6.0,N5979,N105,5.0,852.0,1.0,147286.0,327,147286.0,1258810.0
C528,C7139,flow,6.0,389.0,N13584,8.0,3178.0,1.0,147286.0,682,147286.0,1258729.0
C5089,C3371,flow,6.0,N16318,N382,3.0,152.0,10.0,147286.0,2568,147286.0,1258814.0
C5089,C4116,flow,6.0,N16413,N382,3.0,152.0,10.0,147286.0,2689,147286.0,1258814.0
C5089,C4847,flow,6.0,N16754,N382,3.0,152.0,10.0,147286.0,2691,147286.0,1258814.0
C5089,C3935,flow,6.0,N18616,N382,3.0,152.0,10.0,147286.0,2690,147286.0,1258814.0
C5089,C3971,flow,6.0,N1931,N382,3.0,152.0,10.0,147286.0,2691,147286.0,1258814.0
C5089,C3469,flow,6.0,N23487,N382,3.0,152.0,10.0,147286.0,2692,147286.0,1258814.0
C5089,C128,flow,6.0,N23501,N382,3.0,152.0,10.0,147286.0,2691,147286.0,1258814.0
C5089,C24735,flow,6.0,N35692,N382,3.0,152.0,10.0,147286.0,2689,147286.0,1258814.0
C1015,C732,flow,6.0,N20,N4416,2.0,92.0,38.0,147286.0,3261,147286.0,1232539.0
C1015,C788,flow,6.0,N20,N4438,2.0,92.0,38.0,147286.0,3194,147286.0,1258873.0
C1592,C23679,flow,1.0,N10,N10,5.0,420.0,4.0,147286.0,1055,147286.0,1935367.0
C23679,C1592,flow,1.0,N78,N10,5.0,420.0,4.0,147286.0,1052,147286.0,1935367.0
C1015,C13340,flow,6.0,N20,N2110,7.0,840.0,60.0,147286.0,10554,147286.0,1258931.0
C1216,C706,flow,6.0,N14207,80.0,8.0,3525.0,60.0,147286.0,217,147286.0,1255679.0
C38,C706,flow,6.0,N22963,80.0,8.0,3003.0,60.0,147286.0,126,147286.0,1256961.0
C5053,C10865,flow,6.0,1433.0,N1892,5.0,230.0,60.0,147286.0,22790,147286.0,1258941.0
C5571,C12166,flow,17.0,N3588,161.0,4.0,428.0,60.0,147286.0,4168,147286.0,1258902.0
C3065,C505,flow,6.0,N101,N844,64.0,4480.0,63.0,147286.0,2275,147286.0,1258918.0
C505,C3065,flow,6.0,N844,N101,64.0,2944.0,63.0,147286.0,2280,147286.0,1258918.0
C3173,C9178,flow,6.0,N282,N2444,64.0,8448.0,64.0,147286.0,11392,147286.0,1258946.0
C5782,C5787,flow,6.0,1241.0,N36941,305.0,25188.0,64.0,147286.0,4234,147286.0,1935465.0
C5787,C5782,flow,6.0,N36941,1241.0,381.0,155662.0,64.0,147286.0,6772,147286.0,1935465.0
C6157,C5720,flow,6.0,N3645,445.0,7749.0,401882.0,64.0,147286.0,2901,147286.0,1258936.0
C10,C2993,flow,6.0,139.0,N5552,1.0,46.0,0.0,147287.0,2043,147287.0,1237084.0
C1065,C4576,flow,6.0,389.0,N10766,11.0,5369.0,0.0,147287.0,116,147287.0,575424.0
C13680,C5720,flow,6.0,N10363,445.0,23.0,6174.0,0.0,147287.0,93,147287.0,1239203.0
C20473,C2519,flow,6.0,N5079,445.0,1.0,52.0,0.0,147287.0,1693,147287.0,724794.0
C2519,C20473,flow,6.0,445.0,N5079,1.0,46.0,0.0,147287.0,1695,147287.0,724914.0
C2784,C467,flow,17.0,N18731,389.0,1.0,193.0,0.0,147287.0,171,147287.0,578948.0
C3468,C721,flow,6.0,445.0,N2937,1.0,46.0,0.0,147287.0,2055,147287.0,1258849.0
C457,C5760,flow,17.0,389.0,N43461,1.0,117.0,0.0,147287.0,3078,147287.0,584896.0
C4576,C1065,flow,6.0,N10766,389.0,12.0,3007.0,0.0,147287.0,116,147287.0,575424.0
C467,C2784,flow,17.0,389.0,N18731,1.0,193.0,0.0,147287.0,172,147287.0,579286.0
C528,C8810,flow,17.0,389.0,N43459,1.0,193.0,0.0,147287.0,169,147287.0,1255117.0
C5760,C457,flow,17.0,N43461,389.0,1.0,80.0,0.0,147287.0,3081,147287.0,584896.0
C706,C3186,flow,6.0,80.0,N7428,4.0,511.0,0.0,147287.0,200,147287.0,1257244.0
C721,C3468,flow,6.0,N2937,445.0,1.0,52.0,0.0,147287.0,2056,147287.0,1258849.0
C3186,C706,flow,6.0,N7428,80.0,7.0,2958.0,1.0,147287.0,359,147287.0,1257335.0
C1205,C1685,flow,6.0,N7689,N105,6.0,1222.0,10.0,147287.0,334,147287.0,1929791.0
C15072,C1707,flow,6.0,N15206,N105,6.0,1213.0,10.0,147287.0,229,147287.0,777329.0
C24449,C1707,flow,6.0,N2522,N105,3.0,144.0,10.0,147287.0,206,147287.0,1935107.0
C2976,C1707,flow,6.0,N14869,N105,6.0,1127.0,10.0,147287.0,186,147287.0,1230721.0
C528,C7363,flow,6.0,445.0,N15472,9.0,2359.0,14.0,147287.0,280,147287.0,1247251.0
C3210,C586,flow,6.0,N15464,445.0,13.0,4225.0,16.0,147287.0,137,147287.0,579960.0
C586,C3210,flow,6.0,445.0,N15464,9.0,1653.0,16.0,147287.0,137,147287.0,579960.0
C2784,C4174,flow,17.0,137.0,137.0,6.0,468.0,25.0,147287.0,158,147287.0,578950.0
C4174,C2784,flow,17.0,137.0,137.0,6.0,534.0,25.0,147287.0,159,147287.0,579287.0
C9096,C5721,flow,6.0,N1256,445.0,4.0,278.0,35.0,147287.0,5683,147287.0,1258890.0
C1015,C13791,flow,6.0,N20,N4440,2.0,92.0,38.0,147287.0,7114,147287.0,1258923.0
C194,C4174,flow,17.0,137.0,137.0,8.0,624.0,56.0,147287.0,5295,147287.0,1935462.0
C4174,C194,flow,17.0,137.0,137.0,8.0,672.0,56.0,147287.0,6683,147287.0,1935462.0
C1685,C1205,flow,6.0,N105,N7689,4.0,2755.0,6.0,147287.0,362,147287.0,1929791.0
C1707,C15072,flow,6.0,N105,N15206,4.0,2762.0,6.0,147287.0,229,147287.0,777329.0
C1707,C2976,flow,6.0,N105,N14869,4.0,2760.0,6.0,147287.0,186,147287.0,1230721.0
C11545,C5721,flow,6.0,N410,445.0,43.0,16658.0,60.0,147287.0,3502,147287.0,1258891.0
C14858,C2588,flow,6.0,N1253,N74,3.0,138.0,60.0,147287.0,2807,147287.0,1232897.0
C15300,C2588,flow,6.0,N1677,N74,3.0,138.0,60.0,147287.0,2345,147287.0,1258919.0
C2588,C14858,flow,6.0,N74,N1253,3.0,138.0,60.0,147287.0,2811,147287.0,1232897.0
C3503,C5721,flow,6.0,N2144,445.0,616.0,45369.0,60.0,147287.0,1383,147287.0,1258888.0
C100,C5721,flow,6.0,N1869,445.0,1.0,46.0,0.0,147288.0,2044,147288.0,1258839.0
C1000,C5721,flow,6.0,N3267,445.0,1.0,46.0,0.0,147288.0,3059,147288.0,1258899.0
