src,dst
C15244,C4208
C5787,C2604
C15244,C1235
C15244,C16004
C15244,C371
C17693,C1610
C15244,C2578
C25069,C25068
C17693,C22176
C3199,C3356
C15244,C13680
C15244,C10474
C15244,C18535
C5802,C24206
C15244,C18524
C15244,C832
C15244,C21756
C5787,C21504
C17693,C3037
C15244,C16526
C15244,C8312
C5802,C14055
C15244,C3281
C15244,C1585
C5787,C12436
C5808,C13508
C15244,C7748
C15244,C1651
C15244,C23112
C15244,C9508
C15244,C690
C15244,C1750
C5808,C20537
C15244,C11071
C15244,C16006
C15244,C14977
C5802,C11479
C15244,C16768
C15244,C31
C15244,C4028
C5787,C19776
C15244,C17560
C15244,C2547
C17693,C3629
C17693,C4998
C15244,C7806
C15244,C7330
C17693,C1946
C15244,C5431
C15244,C444
C15244,C369
C15244,C2043
C15244,C1793
C5802,C21616
C15244,C2481
C15244,C915
C15244,C292
C15244,C3056
C15244,C7133
C15244,C264
C15244,C20640
C15244,C17913
C15244,C589
C15244,C15580
C15244,C4003
C15244,C20679
C15244,C6977
C15244,C1317
C15244,C14042
C5808,C24763
C5787,C24704
C15244,C2687
C15244,C4327
C15244,C57
C15244,C12951
C15244,C9345
C15244,C12445
C15244,C11063
C15244,C19507
C15244,C377
C25023,C24304
C5787,C17052
C15244,C9441
C5787,C17658
C15244,C20031
C5802,C22389
C17693,C2010
C15244,C19948
C15244,C2831
C15244,C1714
C15244,C2278
C15244,C828
C15244,C16494
C15244,C1732
C15244,C17903
C15244,C10373
C15244,C872
C15244,C935
C5808,C24633
C17693,C10405
C3435,C3739
C2035,C2663
C15244,C7788
C4246,C3602
C2991,C1413
C15244,C9130
C15244,C3510
C25023,C371
C12050,C12187
C5808,C8495
C15244,C1212
C17693,C2706
C5802,C18841
C15244,C17710
C15244,C19250
C15244,C18313
C15244,C3997
C25023,C17220
C15244,C3725
C15244,C1140
C15244,C18121
C15244,C19758
C15244,C341
C15244,C3086
C4313,C16707
C15244,C227
C15244,C1079
C15244,C1566
C15244,C5176
C15244,C2324
C5787,C22173
C17693,C19646
C15244,C3752
C15244,C3938
C15244,C11875
C15244,C23094
C5808,C13401
C5787,C806
C15244,C14362
C15244,C1144
C15244,C10547
C15244,C13030
C15244,C4843
C22268,C15200
C23772,C23770
C15244,C9216
C15244,C582
C1194,C2606
C13606,C12187
C15244,C14800
C15244,C929
C15244,C1573
C15244,C747
C15244,C2653
C15244,C402
C15244,C3077
C15244,C1362
C17693,C2597
C13868,C24802
C15244,C16266
C15244,C14017
C17693,C917
C15244,C1505
C15244,C621
C15244,C15857
C15244,C618
C15244,C9618
C15244,C21965
C15244,C11169
C15244,C18403
C15244,C7930
C17693,C2604
C15244,C6596
C15244,C17943
C15244,C2537
C17693,C798
C15244,C544
C15244,C7352
C15244,C921
C5808,C24657
C15244,C10191
C15244,C4375
C20033,C12289
C15244,C2244
C15244,C20226
C15244,C10399
C5787,C22016
C15244,C22766
C17693,C1870
C15244,C20647
C15244,C12583
C15244,C12408
C17693,C2085
C15244,C1247
C15244,C2308
C15244,C1655
C1385,C7041
C151,C2589
C15244,C302
C15244,C19193
C15244,C1378
C15244,C3236
C15244,C1075
C15244,C1147
C15244,C20079
C15244,C12356
C15244,C9394
C5808,C9947
C15244,C18065
C17693,C16467
C15244,C19895
C15244,C120
C17693,C1755
C15244,C13296
C15244,C630
C15244,C2854
C15244,C7233
C15244,C3
C15244,C2396
C15244,C2641
C5808,C21199
C15244,C18448
C15244,C642
C15244,C1524
C15244,C1978
C15244,C802
C15244,C2670
C15244,C3986
C15244,C74
C15244,C2237
C17895,C4741
C15244,C187
C15244,C1047
C15244,C18481
C15244,C9485
C3435,C1747
C15244,C1290
C1444,C3026
C13719,C647
C5808,C24576
C15244,C7404
C15244,C18959
C15244,C6727
C15244,C2508
C15244,C6323
C15244,C19883
C565,C1573
C15244,C60
C15244,C22186
C5802,C23468
C7521,C3356
C1495,C2589
C15244,C779
C15244,C39
C15244,C15954
C15244,C9483
C5400,C583
C15244,C14415
C15244,C2583
C3435,C2463
C15244,C2012
C15244,C6638
C5808,C19810
C15244,C4280
C5808,C11652
C15244,C22207
C15244,C1203
C15244,C7294
C15244,C3250
C15244,C2782
C10152,C20193
C15244,C9361
C17693,C513
C15244,C7656
C15244,C6501
C25023,C16266
C15244,C12796
C15244,C8730
C15244,C1548
C1723,C2137
C15244,C1270
C5808,C5557
C15244,C20448
C15244,C11983
C15244,C12139
C5808,C1285
C3827,C1493
C15244,C8380
C15244,C22070
C15244,C15427
C14594,C2606
C15244,C12311
C15244,C22990
C15244,C3710
C17693,C2083
C5802,C21504
C15244,C1071
C15244,C18914
C15244,C2089
C15244,C22964
C15244,C3265
C15244,C21780
C15244,C195
C17693,C4934
C15244,C2298
C15244,C631
C15244,C1077
C15244,C7079
C15244,C2803
C15244,C243
C151,C1493
C17693,C2913
C15244,C23128
C15244,C6020
C15244,C2927
C15244,C15489
C17693,C5183
C15244,C9831
C1575,C740
C17693,C4106
C15244,C12812
C5802,C22174
C5808,C12656
C5787,C2609
C15244,C12994
C15244,C573
C17393,C1909
C15244,C22595
C15244,C6570
C15244,C10440
C5802,C4257
C15244,C3839
C15244,C4426
C15244,C6433
C15244,C6039
C15244,C15661
C15244,C3514
C15244,C1201
C15244,C3078
C5808,C24911
C5802,C1223
C15244,C8019
C15244,C9332
C17693,C16090
C12550,C4120
C15244,C2701
C15244,C1721
C15244,C4301
C17693,C2944
C15244,C13103
C15244,C6971
C15244,C818
C15244,C1559
C15244,C3096
C15244,C3079
C15244,C328
C15244,C3609
C15244,C37
C5802,C17228
C15244,C2656
C15244,C17107
C15244,C14429
C17693,C1022
C17693,C12576
C15244,C1088
C15244,C2649
C15244,C20369
C17693,C1297
C15244,C1340
C15244,C2233
C15244,C17839
C5802,C9659
C5808,C12220
C15244,C1470
C15244,C13160
C15244,C2737
C17693,C1767
C15244,C468
C15244,C4615
C5787,C3575
C15244,C18896
C15244,C17127
C5802,C16081
C8511,C6489
C5808,C20640
C15244,C3506
C15244,C21664
C5802,C470
C17693,C882
C15244,C45
C5808,C23062
C15244,C20688
C15244,C12328
C15244,C9702
C15244,C16083
C15244,C21599
C5802,C16028
C15244,C10678
C15244,C16019
C5787,C17249
C15244,C10340
C15244,C6277
C15244,C2235
C5808,C23845
C15244,C766
C15244,C16592
C15244,C1999
C15244,C2489
C5802,C24793
C15244,C11660
C15244,C20527
C15244,C4670
C15244,C5830
C15244,C3639
C15244,C21464
C15244,C14973
C15244,C399
C2991,C14501
C15244,C14400
C15244,C11
C15244,C14254
C5808,C15298
C15244,C22373
C5802,C15421
C15244,C22536
C15244,C20588
C15244,C7808
C16368,C2606
C17693,C3386
C15244,C474
C5802,C1422
C15244,C11425
C15244,C3343
C15244,C1677
C15244,C1684
C15244,C21939
C15244,C2865
C15244,C1266
C15244,C3017
C5808,C24007
C15244,C17005
C15244,C16286
C15244,C2313
C15244,C3290
C15244,C16937
C15244,C1824
C5802,C5845
C15244,C3244
C18821,C18403
C15244,C22301
C4313,C14139
C15244,C147
C15244,C12156
C15244,C4403
C15244,C16647
C15244,C19227
C15244,C21002
C1586,C964
C15244,C858
C15244,C5609
C15244,C10275
C5787,C15924
C15244,C15022
C15244,C2314
C15244,C3601
C10208,C1395
C15244,C16806
C15244,C1176
C15244,C2606
C15244,C3327
C15244,C163
C15244,C11918
C5787,C16221
C15244,C672
C15244,C2457
C15244,C3816
C5802,C22218
C15244,C757
C5787,C13793
C17693,C1846
C17693,C2609
C17693,C703
C5802,C22926
C15244,C1466
C15244,C20274
C15244,C11447
C15244,C10863
C15244,C2589
C15244,C4291
C5808,C23740
C15244,C1145
C15244,C8186
C15244,C9260
C18025,C1493
C5802,C4828
C15244,C8696
C17693,C18106
C15244,C20055
C15244,C1204
C15244,C16729
C15244,C4075
C15244,C22307
C15244,C40
C15244,C35
C15244,C774
C25023,C785
C15244,C4310
C17693,C5111
C15244,C6901
C15244,C12467
C5808,C24663
C5787,C12572
C15244,C759
C15244,C3711
C15244,C1476
C5787,C23938
C6687,C1891
C15244,C4745
C5787,C557
C15244,C2671
C15244,C22561
C15244,C14334
C15244,C10142
C15244,C2634
C15244,C715
C15244,C17668
C15244,C16504
C5802,C24545
C17693,C3813
C15244,C1196
C5787,C15734
C15244,C2688
C15244,C223
C17735,C13508
C5808,C24133
C15244,C1536
C15244,C1215
C15244,C1250
C5802,C15172
C15244,C8363
C15244,C6947
C5787,C844
C5802,C22088
C17693,C1626
C15244,C3062
C17693,C4610
C17325,C15172
C15244,C1522
C5802,C13508
C15244,C15889
C5808,C19883
C5787,C24795
C5802,C24870
C15244,C10995
C15244,C9801
C15244,C398
C15244,C4483
C5802,C21345
C17693,C1252
C15244,C13587
C15244,C4241
C2677,C3226
C15244,C1829
C5787,C25045
C15244,C1610
C15244,C738
C15244,C4726
C15244,C237
C15244,C1652
C19052,C13508
C15244,C4016
C15244,C6990
C15244,C345
C17257,C2606
C15244,C16148
C15244,C3620
C15244,C21339
C15244,C508
C15244,C14631
C15244,C410
C15244,C2137
C15244,C1064
C17693,C883
C15244,C424
C5787,C23842
C15244,C15102
C15244,C6691
C15244,C20580
C15244,C20037
C25056,C13508
C15244,C1930
C15244,C19713
C17693,C1944
