source_node,path_score,path_nodes,path_edges,path_length
C10865,0.9877939629853953,C10865 -> C2723,1539,1
C13717,0.9639177503521198,C13717 -> C13168,1463,1
C22425,0.9489633626743164,C22425 -> C1152,88322,1
C21814,0.9489633626743164,C21814 -> C1152,105151,1
C3194,0.9463660355767325,C3194 -> C13863,70839,1
C8147,0.9423911127298586,C8147 -> C2669,105869,1
C5808,0.9319871012552094,C5808 -> C23828,74789,1
C1544,0.9187580427982183,C1544 -> C13863,123646,1
C706,0.9173173866252023,C706 -> C12154,37355,1
C2475,0.9117152708108988,C2475 -> C3960,81331,1
C25444,0.8947861568002468,C25444 -> C23967,117156,1
C20593,0.8947861568002468,C20593 -> C23967,1579,1
C24113,0.8941686644739266,C24113 -> C18131,100058,1
C721,0.8941532271657686,C721 -> C3280,115747,1
C18861,0.8892866157689587,C18861 -> C2217,63915,1
C23679,0.8878545162039496,C23679 -> C14134,9341,1
C21545,0.8846917683587318,C21545 -> C3108,97051,1
C5862,0.8704855801881474,C5862 -> C25022,129941,1
C2784,0.8689114458739285,C2784 -> C20593 -> C23967,"1927,1579",2
C22635,0.8640320452664002,C22635 -> C21814 -> C1152,"113638,105151",2
C4174,0.8632273252033894,C4174 -> C26977,83544,1
C23679,0.8632202296388064,C23679 -> C14615,1243,1
C16397,0.8595300725750223,C16397 -> C25879,84174,1
C17320,0.8588448793280842,C17320 -> C13717 -> C13168,"101781,1463",2
C23679,0.8560749897106383,C23679 -> C14323,10238,1
C936,0.8494795176962372,C936 -> C24800,131540,1
C3363,0.8494361493417507,C3363 -> C21545 -> C3108,"121665,97051",2
C17160,0.8490918399555637,C17160 -> C4289,99780,1
C7842,0.8470068803341407,C7842 -> C936 -> C24800,"43466,131540",2
C15288,0.8465591920165462,C15288 -> C20835,121271,1
C18068,0.8463782150582504,C18068 -> C21173,90151,1
C4629,0.8461684380567949,C4629 -> C81,100159,1
C21853,0.8455705146486295,C21853 -> C12484,103791,1
C16712,0.8455682237413429,C16712 -> C5674,29136,1
C16712,0.8455605050872639,C16712 -> C5670,29134,1
C11194,0.8455377790769351,C11194 -> C3812,2749,1
C16712,0.8454447252760788,C16712 -> C21763,28144,1
C16712,0.8452093063266691,C16712 -> C15476,29611,1
C16712,0.844981606031339,C16712 -> C22809,9204,1
C23679,0.8444064265462717,C23679 -> C20408,85574,1
C467,0.8443306273514413,C467 -> C17062,66278,1
C16712,0.8441190464380104,C16712 -> C21913,28564,1
C12843,0.8437691236289059,C12843 -> C20835,121215,1
C12,0.843630356603157,C12 -> C936 -> C24800,"113750,131540",2
C16712,0.8434166489168214,C16712 -> C14776,29935,1
C16712,0.8432410495365241,C16712 -> C5739,29148,1
C23679,0.8428681730264289,C23679 -> C11307,8490,1
C443,0.8425049272375817,C443 -> C17742,2652,1
C7842,0.8420697202660445,C7842 -> C936,43466,1
C16712,0.8416085541988153,C16712 -> C23766,9166,1
