src,dst,label,one_class_svm_score,isolation_forest_score
C13537,C467,0,-24.880236960912953,0.48856880995358987
C754,C22901,0,114.5537621714102,0.6345937478036888
C6795,C231,0,-97.15058771935628,0.4545980374517106
C10630,C231,0,-21.14535616513558,0.5214230019589953
C16021,C586,0,-70.75335856343804,0.501663363054157
C5320,C1065,0,-41.39291686768706,0.4749531603333441
C15829,C528,0,-21.14535616513558,0.5214230019589953
C22820,C2106,0,-82.05993828518103,0.5022315282836811
C18524,C467,0,37.27998756150737,0.6359837927029391
C4837,C2173,0,-51.04491543462768,0.4994005997534051
C12118,U5,0,-48.20738658756409,0.4393190706912998
C13393,C586,0,-73.11296231312099,0.5271953318573801
C5308,C529,0,-85.75962899555407,0.47136853969231973
C10599,C585,0,-46.54815501699636,0.4356723731736193
C21143,C2173,0,-92.13660331378196,0.48232618416176093
C5808,C19211,0,39.99195438340212,0.6651571422205111
C4381,C528,0,-23.231776269308284,0.4784212460261085
C9597,TGT,0,-68.9199365338286,0.5248898242030124
C2597,C2106,0,76.16320517550753,0.5897174910726173
C1521,C24274,0,-29.19985145781925,0.5468408185443014
C1521,C16345,0,-29.19985145781925,0.5468408185443014
C12505,C2106,0,-96.59450492009228,0.4535186568613242
C10086,C612,0,-46.70852269855186,0.47567560988048246
C23440,C1790,0,314.4249684631518,0.6770336475185581
C12814,C2553,0,-38.63271483787662,0.43831906967787904
C3263,C467,0,-6.844478434686607e-05,0.4791470497109693
C17135,C1640,0,-146.23730494703477,0.5506476856452216
C10753,C743,0,-96.59450492009228,0.4535186568613242
C528,C2149,0,61.5825756715717,0.6075432370418777
C602,C2553,0,-105.70834759811032,0.45274962921747414
C6797,C1065,0,-45.389751215330534,0.4663822689649678
C1521,C9366,0,-29.19985145781925,0.5468408185443014
C4215,C231,0,-12.044303858460125,0.4826569321398182
C361,C2106,0,-120.26566613067212,0.46814455892244555
C17649,C2173,0,-6.844478434686607e-05,0.4791470497109693
C17157,C586,0,-12.044303858460125,0.4826569321398182
C1798,C7608,0,0.00010886338804994011,0.5495556690250851
C1798,C15888,0,0.00010886338804994011,0.5495556690250851
C9080,C743,0,-21.931143152177356,0.48167129609806464
C3542,C467,0,-46.54815501699636,0.4356723731736193
C1521,C18328,0,-29.19985145781925,0.5468408185443014
C19149,C2327,0,-107.62037473980581,0.46316414968530817
C15763,C2835,0,-97.15058771935628,0.4545980374517106
C15154,C231,0,-51.04491543462768,0.4994005997534051
C3117,C467,0,-46.70852269855186,0.47567560988048246
C19109,C528,0,-38.63271483787662,0.43831906967787904
C3232,C743,0,-6.518021571878307,0.4796957079613945
C1284,C625,0,-71.15589608420123,0.5158703875028625
C1063,C743,0,-75.02971973592275,0.5178824686523946
C16262,C2327,0,-97.15058771935628,0.4545980374517106
C9853,C1884,0,-118.60136833896945,0.6205054885992207
C19105,C1877,0,-48.20738658756409,0.4393190706912998
C285,C2106,0,-85.42675925420622,0.49173726812187385
C3999,C625,0,-23.164541087597627,0.5033558343827594
C2914,TGT,0,-90.1133079438307,0.4934798792599627
C17875,C625,0,-85.99647741346098,0.440131373339042
C20384,C231,0,-63.49075417225413,0.536113264916932
C16531,C706,0,-76.09294147353512,0.4765442929805698
C1388,C3064,0,-64.99848357608607,0.4363726114770934
C5953,C612,0,-77.90208713709217,0.5159499508998919
C22759,C231,0,-105.70834759811032,0.45274962921747414
C6649,C528,0,-101.51574540029424,0.45239700195534027
C10616,C2553,0,-23.231776269308284,0.4784212460261085
C1410,C2106,0,-95.1759478257211,0.5978963976519016
C17957,C1640,0,-105.70834759811032,0.45274962921747414
C24733,C612,0,29.41726813396781,0.580254024847257
C21659,C586,0,-42.05797216831206,0.6248633551476026
C6693,C457,0,-9.105426079228664,0.5104576740081924
C11462,C529,0,-48.20738658756409,0.4393190706912998
C628,C231,0,-85.42675925420622,0.49173726812187385
C6365,C529,0,-6.495102555632002,0.4901660047687407
C3812,C12778,0,-130.97025221913623,0.6412651539501448
C20446,C612,0,-28.5962336926807,0.5549494805656064
C19343,C625,0,-41.822780591438004,0.4352340865952729
C12954,C467,0,-12.044303858460125,0.4826569321398182
C506,C2173,0,-50.87695222796469,0.5354840549029123
C2191,C553,0,-148.94142463658545,0.5863071628600375
C2672,C625,0,-24.880236960912953,0.48856880995358987
C24143,U7,0,-76.09294147353512,0.4765442929805698
C14868,TGT,0,-98.31296394345827,0.5021568164688807
C14346,C706,0,-23.231776269308284,0.4784212460261085
C1051,C2651,0,-115.96050146764856,0.453906013832627
C1798,C545,0,0.00010886338804994011,0.5495556690250851
C18185,C3953,0,194.87825717236774,0.662856578262453
C14519,C2106,0,-76.09294147353512,0.4765442929805698
C15018,C1921,0,-51.04491543462768,0.4994005997534051
C6115,C625,0,-50.209992000250395,0.4584669949369561
C4208,C457,0,-92.13660331378196,0.48232618416176093
C8895,C743,0,-110.98238938087343,0.5282471311982548
C15244,C1641,0,-0.00022493624419439584,0.5684909062579582
C19006,C92,0,-48.20738658756409,0.4393190706912998
C2095,C2106,0,-75.4734236377019,0.5239648621077512
C5147,C467,0,-23.164541087597627,0.5033558343827594
C8787,C706,0,-115.14028065609637,0.47842120477635164
C12885,C625,0,-64.99848357608607,0.4363726114770934
C1798,C4003,0,0.00010886338804994011,0.5495556690250851
C3414,C2173,0,-33.23094324556723,0.5500177609997914
C19181,C457,0,-192.09461261954357,0.6278478191087744
C1521,C7896,0,-29.19985145781925,0.5468408185443014
C1798,C7121,0,0.00010886338804994011,0.5495556690250851
C633,TGT,0,-60.577554842499694,0.5381108632575086
C9610,C1640,0,-51.04491543462768,0.4994005997534051
C20336,C528,0,-49.12119536482328,0.49942811473809284
C15244,C148,0,-0.00022493624419439584,0.5684909062579582
C9825,C706,0,-21.931143152177356,0.48167129609806464
C14986,C625,0,-58.504020720926974,0.5446425877801908
C22762,C457,0,-146.8295012971157,0.6118903199768306
C19341,TGT,0,-6.844478434686607e-05,0.4791470497109693
C26975,C586,0,-12.044303858460125,0.4826569321398182
C12788,C231,0,-90.33503164877243,0.5122531038835239
C1798,C1263,0,0.00010886338804994011,0.5495556690250851
C18506,C706,0,-24.880236960912953,0.48856880995358987
C1150,C529,0,-126.75309978068026,0.4773203437026088
C22944,C529,0,-105.10507979794397,0.4868186852483801
C15895,C586,0,-46.54815501699636,0.4356723731736193
C18842,C743,0,-115.96050146764856,0.453906013832627
C7356,C528,0,-30.369292980836917,0.5901089007011905
C14930,C625,0,-200.43695184191893,0.5886359851614223
C1984,C457,0,-98.03531231763986,0.5059235835498443
C8853,C1065,0,-97.15058771935628,0.4545980374517106
C1521,C17186,0,-29.19985145781925,0.5468408185443014
C340,C467,0,-48.20738658756409,0.4393190706912998
C1521,C10150,0,-29.19985145781925,0.5468408185443014
C18163,C754,0,-38.18164821138703,0.5883822592275307
C19797,C528,0,-117.00706961323681,0.4869070706190459
C15244,C8454,0,-0.00022493624419439584,0.5684909062579582
C22882,C2106,0,-66.00615992475991,0.49307875090528247
C22704,C586,0,-76.09294147353512,0.4765442929805698
C23557,C612,0,-15.350423348554159,0.5028892563212615
C15920,C528,0,75.62187745931442,0.6524926264243815
C1658,C529,0,103.54826949536937,0.592718832034786
C8001,C2106,0,-146.23730494703477,0.5506476856452216
C17670,C743,0,-23.231776269308284,0.4784212460261085
C11217,C1640,0,-46.54815501699636,0.4356723731736193
C1400,TGT,0,-115.14028065609637,0.47842120477635164
C2848,C423,0,-92.3474556546555,0.5378471992279469
C9838,C529,0,-85.99647741346098,0.440131373339042
C22675,C1640,0,-24.880236960912953,0.48856880995358987
C17078,C457,0,-54.6337119439695,0.4718849235061614
C16616,C2327,0,-38.63271483787662,0.43831906967787904
C5991,TGT,0,-24.880236960912953,0.48856880995358987
C8972,C1810,0,-48.67561215789192,0.5406390561099288
C1521,C1119,0,-29.19985145781925,0.5468408185443014
C14530,C612,0,-199.43980689112777,0.6272837130993185
C5693,C1056,0,6.586432800759212e-05,0.6438532811707903
C11783,C585,0,-55.649495991217464,0.48206860162369025
C5255,C1640,0,-98.31296394345827,0.5021568164688807
C6207,C529,0,-6.572668985427299e-05,0.5984674296928556
C2198,U24,0,136.37384143808936,0.606049789346667
C19685,C528,0,-46.54815501699636,0.4356723731736193
C265,C231,0,-41.822780591438004,0.4352340865952729
C1521,C21030,0,-29.19985145781925,0.5468408185443014
C3281,C467,0,-57.60981785680542,0.6015346815579852
C6707,C457,0,-119.79079791115942,0.4694976884121653
C13653,C586,0,-50.209992000250395,0.4584669949369561
C24601,C586,0,551.4109094123305,0.7305657462038183
C5159,C1640,0,-51.04491543462768,0.4994005997534051
C1798,C9954,0,0.00010886338804994011,0.5495556690250851
C15244,C13360,0,-0.00022493624419439584,0.5684909062579582
C10362,C2525,0,-21.14535616513558,0.5214230019589953
C8026,C5716,0,-24.536458231689494,0.49292320004655593
C11741,C1640,0,-115.96050146764856,0.453906013832627
C4659,C612,0,-46.54815501699636,0.4356723731736193
C2420,U7,0,-67.64209408730858,0.5565406445791062
C21407,C561,0,-97.15058771935628,0.4545980374517106
C1521,C21476,0,-29.19985145781925,0.5468408185443014
C1798,C219,0,0.00010886338804994011,0.5495556690250851
C5055,C585,0,-80.76984603247274,0.48135089142733506
C13244,C231,0,-15.350423348554159,0.5028892563212615
C5059,C625,0,-46.70852269855186,0.47567560988048246
C4379,C2106,0,-133.38421178132103,0.5409924151504805
C620,C625,0,-41.822780591438004,0.4352340865952729
C9670,C231,0,-51.04491543462768,0.4994005997534051
C1774,C1640,0,-53.62742515679588,0.47122899852616035
C18152,C1065,0,-76.38064306062597,0.6137463426739308
C8847,C743,0,-46.54815501699636,0.4356723731736193
C8026,C706,0,-24.536458231689494,0.49292320004655593
C19607,C467,0,-105.70834759811032,0.45274962921747414
C1542,C743,0,-115.14028065609637,0.47842120477635164
C21628,C5880,0,-35.691232727353054,0.48329707663636917
C1798,C17978,0,0.00010886338804994011,0.5495556690250851
C1521,C7127,0,-29.19985145781925,0.5468408185443014
C5250,C743,0,-36.0561259055346,0.4806979771874493
C8408,U7,0,-117.00706961323681,0.4869070706190459
C13497,C11290,0,-29.95940396883134,0.6276626496741661
C10428,C2106,0,-41.822780591438004,0.4352340865952729
C20940,C528,0,-98.31296394345827,0.5021568164688807
C16520,U7,0,-2.041024710879583,0.5254217633114018
C6501,C529,0,-57.60981785680542,0.6015346815579852
C19978,C1015,0,-193.3390805463937,0.6328253991480768
C13364,C743,0,-24.536458231689494,0.49292320004655593
C6469,C612,0,-50.209992000250395,0.4584669949369561
C21950,C1065,0,-68.08393069272233,0.5140908169234429
C1521,C24785,0,-29.19985145781925,0.5468408185443014
C1634,C529,0,-68.9199365338286,0.5248898242030124
C18155,C754,0,-112.1795469263268,0.6138233021047329
C7744,C529,0,-26.031087034581105,0.6033500116066265
C20954,C612,0,-107.62037473980581,0.46316414968530817
C21412,C2327,0,-97.15058771935628,0.4545980374517106
C17693,C1946,0,28.2401881431349,0.6649871299496158
C84,C586,0,-96.59450492009228,0.4535186568613242
C16592,C625,0,-101.51574540029424,0.45239700195534027
C14057,C457,0,-99.37601369409094,0.49758818647652414
C19084,C528,0,-126.75309978068026,0.4773203437026088
C17252,C528,0,-87.41579209961401,0.515549824818206
C15725,C457,0,-10.886558109630869,0.47893100192848165
C14197,C743,0,-105.70834759811032,0.45274962921747414
C10574,C1877,0,-41.39291686768706,0.4749531603333441
C3324,C467,0,-26.61111800191975,0.5313550397675043
C10029,C467,0,-6.844478434686607e-05,0.4791470497109693
C21402,C5716,0,-92.51011812192337,0.49969886486948295
C9829,C2106,0,-45.389751215330534,0.4663822689649678
C21510,C5618,0,-110.98238938087343,0.5282471311982548
C18444,C743,0,-64.99848357608607,0.4363726114770934
C9859,C1065,0,181.03201806139077,0.6939491374494675
C22938,C231,0,-48.20738658756409,0.4393190706912998
C11059,C2230,0,-112.08299348951232,0.5139130388829021
C11281,C231,0,-20.50198967759934,0.5297774064930251
C8399,C529,0,-120.26566613067212,0.46814455892244555
C3678,C231,0,-6.844478434686607e-05,0.4791470497109693
C10503,C743,0,-41.822780591438004,0.4352340865952729
C1657,C2106,0,-59.15167655159712,0.5384236254373792
C22865,C754,0,-31.64917546041761,0.6321135803473885
C22852,C528,0,-5.0939565114690595,0.5214770639989572
C19493,C625,0,-105.70834759811032,0.45274962921747414
