src,dst,label,one_class_svm_score,isolation_forest_score
C1743,C15584,0,-146.85723373364,0.4716124418833797
C528,C12731,0,486.90174083710326,0.627254574558958
C528,C23671,0,-41.38274137431449,0.4786101069913124
C1743,C15356,0,-17.04318300695627,0.5477798667624479
C12490,C1685,0,-110.57349726526832,0.5140429657529718
C17823,C1685,0,-109.54433661630355,0.5290738605962839
C706,C19055,0,87.41551907638677,0.5808693924307977
C2150,C18251,0,-50.7574025849633,0.5173647983876383
C1743,C1217,0,-36.513318500698006,0.5309523281635034
C19489,C585,0,4.770685185108277,0.5608125010980309
C529,C244,0,-62.250250141179094,0.45806051759828786
C528,C5530,0,-26.861603031900586,0.5399339991799833
C9558,C231,0,-167.85924443796512,0.5105754207338464
C8255,C529,0,-94.38809260206358,0.4967934360703593
C7962,C231,0,-170.73373687702042,0.5000161389923721
C5900,C18007,0,3.4162028702276075,0.5499190314884383
C754,C21585,0,-39.11292815998263,0.477771106962847
C26408,C14445,0,-90.03504127345877,0.49099876574411017
C5778,C1685,0,-101.70201783326888,0.5197421894966308
C706,C13544,0,-12.653937646538907,0.5472882857933787
C529,C13707,0,-87.01670742100237,0.5153934090101493
C14202,C586,0,-180.91696422414998,0.5083058898245136
C18012,C1707,0,-138.23365970608847,0.5046986335781545
C2651,C12920,0,-87.53621853507252,0.5113511513566289
C742,C10841,0,-138.05751184884207,0.48187025894066915
C6578,C1707,0,-138.23365970608847,0.5046986335781545
C754,C19934,0,-57.944769570780636,0.48282937284531435
C11583,C5721,0,-6.25009031015793,0.5653356180216441
C20546,C528,0,32.823967344976154,0.5827339627190486
C586,C21359,0,-72.30443216382741,0.5480915104547596
C15244,C23300,0,8.425414331483807,0.576387017245896
C5763,C3110,0,75.83902255998578,0.6094879277632597
C1618,C14559,0,-31.982901203465644,0.4772219940341088
C994,C5763,0,-36.60351962675418,0.47745833386423076
C5901,C625,0,-146.08811311490263,0.4995916980911058
C18700,C5030,0,-63.30026473737257,0.4920988087848775
C11391,C4174,0,-50.17431710643382,0.49969016282836326
C22731,C3349,0,27.58868212712764,0.5439256692604416
C612,C19830,0,-35.57246709912965,0.4676532362702787
C15279,C395,0,-7.942764348793389,0.47971375206012307
C11663,C231,0,-161.80611282636255,0.49508075700872695
C1795,C85,0,-115.35513243506557,0.48967104352079405
C14839,C1707,0,-123.60952216263058,0.5245437051325481
C1707,C17682,0,-80.32951879589882,0.4799026220844226
C16280,C585,0,4.770685185108277,0.5608125010980309
C2372,C585,0,-75.33288471254036,0.520709175933387
C528,C11047,0,5.25020615447761,0.5584012192530726
C22486,C5720,0,-82.64623301036158,0.46504841600275304
C612,C7192,0,-62.63920744522579,0.5180878399008161
C484,C2174,0,4.940715718159709,0.5228631644129156
C13659,C2485,0,-55.813560165664285,0.5210161109896893
