2026-05-16 01:31:19,303 [INFO] __main__: Loading LANL data from data/LANL-Dataset-2015 (window=3600s)
2026-05-16 01:31:19,802 [INFO] src.pipeline: Run ID: 20260516_083119, output dir: results/20260516_083119
2026-05-16 01:31:19,802 [INFO] src.io:   Saved pipeline_config.json to results/20260516_083119
2026-05-16 01:31:19,804 [INFO] src.stages: Red team: 749 events, 25 merged windows
2026-05-16 01:31:19,816 [INFO] src.io:   Saved redteam data to results/20260516_083119/redteam
2026-05-16 01:31:19,817 [INFO] src.stages: Streaming + building: combined
2026-05-16 01:31:27,574 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 500,000 events processed...
2026-05-16 01:31:28,799 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 1,000,000 events processed...
2026-05-16 01:31:30,046 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 1,500,000 events processed...
2026-05-16 01:31:31,214 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 2,000,000 events processed...
2026-05-16 01:31:34,982 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 2,500,000 events processed...
2026-05-16 01:31:36,141 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 3,000,000 events processed...
2026-05-16 01:31:37,360 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 3,500,000 events processed...
2026-05-16 01:31:38,586 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 4,000,000 events processed...
2026-05-16 01:31:39,765 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 4,500,000 events processed...
2026-05-16 01:31:41,012 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 5,000,000 events processed...
2026-05-16 01:31:42,214 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 5,500,000 events processed...
2026-05-16 01:31:43,537 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 6,000,000 events processed...
2026-05-16 01:31:44,711 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 6,500,000 events processed...
2026-05-16 01:31:45,873 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 7,000,000 events processed...
2026-05-16 01:31:47,107 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 7,500,000 events processed...
2026-05-16 01:31:48,290 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 8,000,000 events processed...
2026-05-16 01:32:00,303 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 8,500,000 events processed...
2026-05-16 01:32:01,530 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 9,000,000 events processed...
2026-05-16 01:32:02,712 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 9,500,000 events processed...
2026-05-16 01:32:03,955 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 10,000,000 events processed...
2026-05-16 01:32:05,151 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 10,500,000 events processed...
2026-05-16 01:32:06,396 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 11,000,000 events processed...
2026-05-16 01:32:07,599 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 11,500,000 events processed...
2026-05-16 01:32:08,847 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 12,000,000 events processed...
2026-05-16 01:32:10,109 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 12,500,000 events processed...
2026-05-16 01:32:11,474 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 13,000,000 events processed...
2026-05-16 01:32:12,769 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 13,500,000 events processed...
2026-05-16 01:32:14,378 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 14,000,000 events processed...
2026-05-16 01:32:15,656 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 14,500,000 events processed...
2026-05-16 01:32:16,992 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 15,000,000 events processed...
2026-05-16 01:32:18,251 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 15,500,000 events processed...
2026-05-16 01:32:19,613 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 16,000,000 events processed...
2026-05-16 01:32:20,911 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 16,500,000 events processed...
2026-05-16 01:32:22,244 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 17,000,000 events processed...
2026-05-16 01:32:23,483 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 17,500,000 events processed...
2026-05-16 01:32:30,294 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 18,000,000 events processed...
2026-05-16 01:32:31,618 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 18,500,000 events processed...
2026-05-16 01:32:32,927 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 19,000,000 events processed...
2026-05-16 01:32:34,272 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 19,500,000 events processed...
2026-05-16 01:32:35,535 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 20,000,000 events processed...
2026-05-16 01:32:36,817 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 20,500,000 events processed...
2026-05-16 01:32:40,599 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 21,000,000 events processed...
2026-05-16 01:32:42,187 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 21,500,000 events processed...
2026-05-16 01:32:43,970 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 22,000,000 events processed...
2026-05-16 01:32:45,800 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 22,500,000 events processed...
2026-05-16 01:32:54,246 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 23,000,000 events processed...
2026-05-16 01:32:55,560 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 23,500,000 events processed...
2026-05-16 01:32:56,870 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 24,000,000 events processed...
2026-05-16 01:32:58,160 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 24,500,000 events processed...
2026-05-16 01:32:59,525 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 25,000,000 events processed...
2026-05-16 01:33:00,923 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 25,500,000 events processed...
2026-05-16 01:33:02,284 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 26,000,000 events processed...
2026-05-16 01:33:03,559 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 26,500,000 events processed...
2026-05-16 01:33:04,897 [INFO] src.graph.builder:   data/LANL-Dataset-2015/auth.txt: 27,000,000 events processed...
