src,dst
C5787,C17
C5802,C2688
C17693,C338
C5808,C9597
C17693,C10656
C5802,C394
C5808,C10442
C5802,C19359
C5808,C11661
C5808,C24521
C5802,C15232
C5787,C15540
C5802,C6878
C17693,C22275
C5808,C1049
C5808,C6600
C5787,C6411
C17693,C2085
C5787,C19442
C5787,C16338
C5787,C16221
C5808,C16379
C5787,C10583
C5802,C22828
C5802,C15452
C5808,C10201
C5808,C280
C5808,C2720
C5808,C19489
C17693,C976
C5787,C7656
C5808,C19810
C5808,C175
C17693,C1964
C5802,C15680
C5808,C12240
C5802,C15279
C5808,C19211
C5808,C17202
C17693,C1790
C5802,C20821
C5808,C6433
C5787,C14706
C5802,C795
C5787,C19149
C5802,C6583
C5787,C17540
C5808,C19250
C5802,C8266
C5787,C18343
C5787,C15196
C5808,C24432
C5808,C10675
C5787,C18676
C5802,C22523
C17693,C1581
C5802,C470
C5787,C14994
C5802,C4341
C5787,C18326
C5808,C3928
C5802,C8498
C5787,C22778
C5787,C11340
C5802,C18502
C5802,C19511
C17693,C1268
C5787,C22337
C5808,C1086
C5787,C23056
C5808,C15196
C5808,C10235
C17693,C10005
C5808,C1923
C5802,C20201
C17693,C2069
C5802,C1336
C5808,C16754
C5802,C18910
C5808,C19118
C5787,C14110
C5808,C14880
C17693,C2813
C5802,C10872
C5802,C19382
C5787,C22381
C5808,C700
C17693,C5343
C5808,C22778
C5802,C18733
C5802,C20212
C5802,C2385
C5802,C17264
C5802,C1223
C5802,C322
C5802,C12214
C17693,C12816
C5802,C24615
C5802,C1008
C5802,C18150
C17693,C92
C5787,C17148
C5802,C12166
C5787,C20384
C5808,C569
C17693,C368
C5802,C5675
C5802,C18615
C5802,C150
C5808,C13256
C5802,C13715
C5802,C17927
C5787,C10260
C5802,C11122
C5787,C5491
C5808,C23062
C5802,C19178
C5787,C22974
C5802,C18101
C5802,C20278
C5787,C15924
C5808,C17538
C17693,C20819
C5808,C9095
C5787,C4161
C5802,C21932
C5787,C24133
C5808,C5491
C5787,C107
C5808,C22540
C5802,C12263
C5787,C10907
C5802,C7103
C5808,C14901
C17693,C10199
C5802,C21356
C5787,C5776
C5787,C23848
C5802,C684
C17693,C7782
C5808,C5632
C5808,C24133
C5808,C8625
C5808,C12770
C5808,C1072
C5808,C20031
C5802,C17605
C5802,C12267
C5802,C17889
C5802,C460
C5808,C13623
C5787,C10914
C5787,C22154
C5802,C382
C5802,C23070
C5802,C22565
C5808,C23142
C5808,C18466
C17693,C1302
C5787,C19479
C5808,C6259
C17693,C742
C5808,C22863
C5802,C17235
C5787,C10375
C5808,C7896
C5808,C2056
C5808,C23333
C17693,C1191
C5802,C8005
C5808,C1355
C5787,C6769
C5802,C8736
C5802,C2308
C5802,C9649
C5802,C19221
C5787,C13399
C5787,C2935
C5787,C15952
C5802,C11535
C5802,C12566
C17693,C1973
C5802,C8517
C17693,C2489
C5787,C19721
C5787,C21946
C5787,C9578
C5787,C16700
C5808,C13018
C5808,C21
C5802,C18783
C5787,C1090
C5802,C24372
C5808,C6528
C5808,C15333
C5787,C19699
C5802,C6941
C5802,C18388
C5808,C17240
C5808,C12387
C5808,C18544
C17693,C11441
C17693,C687
C5808,C21993
C17693,C477
C17693,C9945
C17693,C3938
C5787,C14764
C17693,C3997
C5802,C20742
C5787,C12457
C17693,C2877
C5808,C13610
C5787,C20283
C5808,C8460
C5808,C22892
C5808,C19785
C5802,C17618
C5787,C17052
C5787,C14288
C5787,C1427
C5802,C7146
C5787,C13021
C5802,C23535
C5802,C9246
C5802,C10874
C5802,C19057
C5808,C993
C17693,C625
C5802,C23548
C5787,C6865
C5802,C18908
C5808,C15916
C17693,C113
C5802,C12373
C5802,C454
C5802,C9363
C5808,C17052
C5802,C19671
C5808,C12021
C17693,C2254
C5802,C9615
C5802,C22220
C5808,C17378
C17693,C8219
C5802,C9120
C5787,C24597
C5787,C18454
C5787,C24641
C17693,C8422
C5808,C21432
C5808,C18128
C17693,C2519
C5808,C10997
C17693,C2388
C17693,C6699
C5808,C24680
C5808,C24724
C5802,C17351
C5802,C16369
C5808,C8082
C17693,C881
C5787,C12143
C5808,C15718
C17693,C583
C5808,C11652
C5808,C10197
C5802,C19628
C5802,C13185
C5808,C8040
