source_node,path_score,path_nodes,path_edges,path_length
C5808,1.124978211752027,C5808 -> C1085,277314,1
C5808,1.124978211752027,C5808 -> C7997,316972,1
C5808,1.124978211752027,C5808 -> C10805,212085,1
C5808,1.124978211752027,C5808 -> C1073,396885,1
C5808,1.124978211752027,C5808 -> C15763,77469,1
C5808,1.124978211752027,C5808 -> C1025,390156,1
C5808,1.124978211752027,C5808 -> C11839,277246,1
C5808,1.124978211752027,C5808 -> C586,376944,1
C5808,1.124978211752027,C5808 -> C506,387825,1
C5808,1.124978211752027,C5808 -> C801,386705,1
C5802,1.1233125895655096,C5802 -> C14160,354528,1
C5802,1.1233125895655096,C5802 -> C12568,303056,1
C5802,1.1233125895655096,C5802 -> C3443,386639,1
C5802,1.1233125895655096,C5802 -> C9471,85598,1
C5802,1.1233125895655096,C5802 -> C231,240408,1
C5802,1.1233125895655096,C5802 -> C529,377186,1
C5802,1.1233125895655096,C5802 -> C1422,340577,1
C5802,1.1233125895655096,C5802 -> C17262,236697,1
C5802,1.1233125895655096,C5802 -> C10988,352399,1
C5802,1.1233125895655096,C5802 -> C10682,259662,1
C5787,1.1202108133321849,C5787 -> C844,387489,1
C5787,1.1202108133321849,C5787 -> C1845,339330,1
C5787,1.1202108133321849,C5787 -> C13030,326988,1
C5787,1.1202108133321849,C5787 -> C3173,250826,1
C5787,1.1202108133321849,C5787 -> C17262,55746,1
C5787,1.1202108133321849,C5787 -> C14160,371847,1
C5787,1.1202108133321849,C5787 -> C13166,333274,1
C5787,1.1202108133321849,C5787 -> C12135,302828,1
C5787,1.1202108133321849,C5787 -> C1035,386713,1
C5787,1.1202108133321849,C5787 -> C561,341185,1
C17693,1.1178933829384732,C17693 -> C467,92550,1
C17693,1.1178933829384732,C17693 -> C1042,299914,1
C17693,1.1178933829384732,C17693 -> C1025,273381,1
C17693,1.1178933829384732,C17693 -> C2106,339055,1
C17693,1.1178933829384732,C17693 -> C586,339030,1
C17693,1.1178933829384732,C17693 -> C529,92552,1
C17693,1.1178933829384732,C17693 -> C1035,273362,1
C17693,1.1178933829384732,C17693 -> C457,338969,1
C17693,1.1178933829384732,C17693 -> C1085,303312,1
C17693,1.1178933829384732,C17693 -> C528,339235,1
C5763,1.099398448695189,C5763 -> C423,120696,1
C5763,1.099398448695189,C5763 -> C936,41777,1
C5763,1.099398448695189,C5763 -> C449,223452,1
C5763,1.099398448695189,C5763 -> C92,198260,1
C5763,1.099398448695189,C5763 -> C1681,383806,1
C5782,1.094858540241439,C5782 -> C5778,87202,1
C5782,1.094858540241439,C5782 -> C8768,264594,1
C5782,1.094858540241439,C5782 -> C12406,388122,1
C5782,1.094858540241439,C5782 -> C15001,341182,1
C5782,1.094858540241439,C5782 -> C12318,311979,1
