node,in_degree,out_degree,total_degree,fan_out_ratio,betweenness_centrality,inter_arrival_mean,inter_arrival_std,burst_score,active_duration
C12247,16,26,42,0.6190476190476191,9.635131125379877e-09,43482.04,130924.7549373242,0.7692307692307693,1087051.0
C1065,12758,1996,14754,0.1352853463467534,0.0009555721214083,1195.6756892230576,15956.860002218842,0.5876753507014028,2385373.0
ANONYMOUS LOGON@C1065,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C4429,16,21,37,0.5675675675675675,3.5431306606949624e-08,34050.3,93053.32014662348,0.6190476190476191,681006.0
C528,12524,3328,15852,0.2099419631592228,0.0029317612954579,666.1082055906222,11318.150769481344,0.53125,2216142.0
ANONYMOUS LOGON@C528,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C529,12731,1915,14646,0.1307524238699986,0.0006543033477705,1211.7816091954023,15382.981740011866,0.6067885117493472,2319350.0
ANONYMOUS LOGON@C529,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C13455,7,23,30,0.7666666666666667,1.1856050749385027e-07,41934.22727272727,89448.86053440196,0.6521739130434783,922553.0
C586,12961,2052,15013,0.1366815426630253,0.0008207543558373,870.6938078985861,12156.157642038632,0.6213450292397661,1785793.0
ANONYMOUS LOGON@C586,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C2106,12402,3,12405,0.000241837968561,2.262906181735769e-07,162548.0,91676.0,0.3333333333333333,325096.0
C10045$@DOM1,2,5,7,0.7142857142857143,1.0729033880020636e-09,271565.5,249881.17360607625,0.4,1086262.0
C1020$@DOM1,2,5,7,0.7142857142857143,7.15268925334709e-10,230106.25,364013.026567989,0.6,920425.0
C1025,291,26,317,0.0820189274447949,2.179021745463135e-07,36637.04,77691.53412385678,0.4230769230769231,915926.0
C561,198,36,234,0.1538461538461538,8.683748624473615e-06,68723.57142857143,286305.2374466589,0.4722222222222222,2405325.0
C1025$@DOM1,2,3,5,0.6,1.0371399417353282e-08,289645.0,281182.0,0.6666666666666666,579290.0
C1035,8,18,26,0.6923076923076923,1.3405061657586275e-09,40165.470588235294,76828.11349416738,0.6111111111111112,682813.0
C467,12658,1959,14617,0.1340220291441472,0.0007259470352754,1099.579162410623,14731.191536720213,0.6151097498723839,2152976.0
C1035$@DOM1,4,8,12,0.6666666666666666,8.49506720342764e-08,82444.85714285714,127051.25339847084,0.625,577114.0
C105,1,31,32,0.96875,0.0,74117.23333333334,251632.79216292975,0.8064516129032258,2223517.0
C104,17,0,17,0.0,0.0,0.0,0.0,0.0,0.0
C104$@DOM1,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C1042,22,35,57,0.6140350877192983,1.3116641886138073e-06,65840.70588235294,197987.95182647585,0.2857142857142857,2238584.0
C1042$@DOM1,14,19,33,0.5757575757575758,1.436674827506646e-07,133822.66666666666,267998.1479106816,0.3157894736842105,2408808.0
C612,12681,1888,14569,0.1295902258219507,0.000574293479619,946.9862215156332,12513.275224899204,0.607521186440678,1786963.0
C10445$@DOM1,2,5,7,0.7142857142857143,3.576344626673545e-10,275166.5,476560.7899027678,0.6,1100666.0
C10805,13,20,33,0.6060606060606061,1.9652351458211835e-08,53427.68421052631,109706.25265107902,0.7,1015126.0
C10805$@DOM1,2,5,7,0.7142857142857143,3.576344626673545e-10,229503.75,361379.3269781595,0.6,918015.0
C1115,1,31,32,0.96875,0.0,56702.5,165526.10156583562,0.8064516129032258,1701075.0
C1085,28,33,61,0.5409836065573771,5.126030588206382e-06,55670.1875,214899.7374815808,0.8484848484848485,1781446.0
C1114$@DOM1,1,1,2,0.5,0.0,0.0,0.0,0.0,0.0
C11639$@DOM1,2,3,5,0.6,1.1921148755578486e-10,156910.5,97371.5,0.3333333333333333,313821.0
C11741$@DOM1,2,5,7,0.7142857142857143,4.291613552008255e-09,271622.75,305223.99753244745,0.4,1086491.0
C11886,13,22,35,0.6285714285714286,1.7052979461612684e-08,51947.52380952381,127787.46965199272,0.8636363636363636,1090898.0
