source_node,path_score,path_nodes,path_edges,path_length
C15244,1.343155930971774,C15244 -> C3358,357038,1
C15244,1.331430119891492,C15244 -> C5683,359302,1
C15244,1.331430119891492,C15244 -> C8392,356414,1
C15244,1.3255874183567575,C15244 -> C20741,359297,1
C17693,1.3220489007936638,C17693 -> C20741,274102,1
C15244,1.3209571768188633,C15244 -> C2700,363973,1
C17693,1.3209571768188633,C17693 -> C5675,372412,1
C15244,1.3209571768188633,C15244 -> C12780,361642,1
C15244,1.3209571768188633,C15244 -> C9391,355767,1
C15244,1.3209571768188633,C15244 -> C4827,359301,1
C15244,1.3209571768188633,C15244 -> C21067,360577,1
C754,1.3209571768188633,C754 -> C16985,224843,1
C6155,1.3209571003844454,C6155 -> C15449,315470,1
C5787,1.3183322779186974,C5787 -> C20741,242431,1
C5808,1.3150712615426707,C5808 -> C25065,406901,1
C5787,1.314516846541634,C5787 -> C23826,380238,1
C5787,1.314516846541634,C5787 -> C24210,401291,1
C5802,1.314516846541634,C5802 -> C5675,237662,1
C5787,1.3137020363808032,C5787 -> C16985,210084,1
C15244,1.3123763132214108,C15244 -> C911,362650,1
C976,1.307156020561247,C976 -> C20742,289611,1
C5782,1.3071041056256019,C5782 -> C16985,319467,1
C5802,1.3059359829441815,C5802 -> C5748,276432,1
C5802,1.3059359829441815,C5802 -> C20742,388990,1
C5808,1.3059359829441815,C5808 -> C8460,402066,1
C5802,1.3059359573117624,C5802 -> C23882,391264,1
C5782,1.3055064093790942,C5782 -> C23737,379674,1
C5802,1.3055064093790942,C5802 -> C22986,333991,1
C17693,1.3055064093790942,C17693 -> C20742,301272,1
C5802,1.3055063073122573,C5802 -> C23494,371779,1
C5782,1.3047896328832431,C5782 -> C15328,241361,1
C5787,1.3023035570840333,C5787 -> C17048,210669,1
C17693,1.300470314680516,C17693 -> C243,303323,1
C17693,1.3004701917013624,C17693 -> C2043,308365,1
C17693,1.2992510149048686,C17693 -> C2012,277666,1
C5802,1.29858539228884,C5802 -> C3061,264578,1
C5802,1.29858539228884,C5802 -> C17927,113163,1
C5808,1.29858539228884,C5808 -> C22160,351624,1
C4313,1.2983025819221108,C4313 -> C23094,339514,1
C5787,1.2983025819221108,C5787 -> C22728,336412,1
C543,1.298302564199517,C543 -> C243,378519,1
C5808,1.2980309772878031,C5808 -> C2012,388061,1
C5808,1.29760135717798,C5808 -> C1121,388418,1
C5802,1.2972161671269724,C5802 -> C18535,173606,1
C5802,1.2972161671269724,C5802 -> C22555,298452,1
C5787,1.2972161671269724,C5787 -> C15884,300711,1
C23593,1.2970834291087356,C23593 -> C15200,372002,1
C754,1.2970834291087356,C754 -> C17052,141436,1
C4313,1.297083396731471,C4313 -> C16028,341168,1
C12554,1.2969318148400162,C12554 -> C23094,367618,1
